material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Paper and cardboard,Non-recyclable Paper,2,recycling bin,grey bin,rural £/££,0.018367346938775512
Paper and cardboard,Non-recyclable Paper,2,recycling bin,grey bin,rural £££,0.2857142857142857
Paper and cardboard,Board Packaging,1,grey bin,recycling bin,urban £,0.024
Paper and cardboard,Board Packaging,1,grey bin,recycling bin,urban ££,0.010810810810810811
Paper and cardboard,Board Packaging,1,grey bin,recycling bin,urban £££,0.01702127659574468
Paper and cardboard,Board Packaging,1,grey bin,recycling bin,rural £/££,0.09615384615384616
Paper and cardboard,Board Packaging,1,grey bin,recycling bin,rural £££,0.029411764705882353
Paper and cardboard,Board Packaging,1,recycling bin,recycling bin,urban £,0.318
Paper and cardboard,Board Packaging,1,recycling bin,recycling bin,urban ££,0.010810810810810811
Paper and cardboard,Board Packaging,1,recycling bin,recycling bin,urban £££,0.25106382978723407
Paper and cardboard,Board Packaging,1,recycling bin,recycling bin,rural £/££,0.10769230769230768
Paper and cardboard,Board Packaging,1,recycling bin,recycling bin,rural £££,0.28431372549019607
Paper and cardboard,Board Packaging,2,grey bin,recycling bin,urban £,0.06326530612244897
Paper and cardboard,Board Packaging,2,grey bin,recycling bin,urban ££,0.034210526315789476
Paper and cardboard,Board Packaging,2,grey bin,recycling bin,urban £££,0.022000000000000002
Paper and cardboard,Board Packaging,2,grey bin,recycling bin,rural £/££,0.024489795918367346
Paper and cardboard,Board Packaging,2,grey bin,recycling bin,rural £££,0.1489795918367347
Paper and cardboard,Board Packaging,2,recycling bin,recycling bin,urban £,0.27142857142857146
Paper and cardboard,Board Packaging,2,recycling bin,recycling bin,urban ££,0.1736842105263158
Paper and cardboard,Board Packaging,2,recycling bin,recycling bin,urban £££,0.174
Paper and cardboard,Board Packaging,2,recycling bin,recycling bin,rural £/££,0.20816326530612245
Paper and cardboard,Board Packaging,2,recycling bin,recycling bin,rural £££,0.33469387755102037
Paper and cardboard,Thin Card Packaging,1,grey bin,recycling bin,urban £,0.214
Paper and cardboard,Thin Card Packaging,1,grey bin,recycling bin,urban ££,0.2513513513513514
Paper and cardboard,Thin Card Packaging,1,grey bin,recycling bin,urban £££,0.1276595744680851
Paper and cardboard,Thin Card Packaging,1,grey bin,recycling bin,rural £/££,0.1346153846153846
Paper and cardboard,Thin Card Packaging,1,grey bin,recycling bin,rural £££,0.19019607843137254
Paper and cardboard,Thin Card Packaging,1,recycling bin,recycling bin,urban £,0.314
Paper and cardboard,Thin Card Packaging,1,recycling bin,recycling bin,urban ££,0.16756756756756758
Paper and cardboard,Thin Card Packaging,1,recycling bin,recycling bin,urban £££,0.27872340425531916
Paper and cardboard,Thin Card Packaging,1,recycling bin,recycling bin,rural £/££,0.3
Paper and cardboard,Thin Card Packaging,1,recycling bin,recycling bin,rural £££,0.2568627450980392
Paper and cardboard,Thin Card Packaging,2,grey bin,recycling bin,urban £,0.17551020408163265
Paper and cardboard,Thin Card Packaging,2,grey bin,recycling bin,urban ££,0.16842105263157894
Paper and cardboard,Thin Card Packaging,2,grey bin,recycling bin,urban £££,0.11
Paper and cardboard,Thin Card Packaging,2,grey bin,recycling bin,rural £/££,0.13673469387755102
Paper and cardboard,Thin Card Packaging,2,grey bin,recycling bin,rural £££,0.2469387755102041
Paper and cardboard,Thin Card Packaging,2,recycling bin,recycling bin,urban £,0.28775510204081634
