region,year,material,management,tonnes
South Lanarkshire,2019,Rubber wastes,Other Diversion,0
Glasgow City,2019,Rubber wastes,Recycled,0
East Dunbartonshire,2019,Paper and cardboard wastes,Landfilled,114
Inverclyde,2019,Glass wastes,Recycled,1578
East Dunbartonshire,2019,Paper and cardboard wastes,Other Diversion,0
East Dunbartonshire,2019,Paper and cardboard wastes,Recycled,5886
Highland,2019,Rubber wastes,Recycled,85
West Dunbartonshire,2019,Paper and cardboard wastes,Recycled,3933
Inverclyde,2019,Glass wastes,Landfilled,0
Shetland Islands,2019,Glass wastes,Other Diversion,0
West Lothian,2019,Rubber wastes,Landfilled,0
Outer Hebrides,2019,Health care and biological wastes,Other Diversion,0
East Dunbartonshire,2019,Health care and biological wastes,Landfilled,0
Highland,2019,Used oils,Other Diversion,0
Renfrewshire,2019,Paper and cardboard wastes,Landfilled,0
Inverclyde,2019,Rubber wastes,Recycled,3
Scottish Borders,2019,Health care and biological wastes,Landfilled,0
Orkney Islands,2019,Glass wastes,Recycled,480
East Renfrewshire,2019,Rubber wastes,Recycled,0
Falkirk,2019,Health care and biological wastes,Landfilled,0
Moray,2019,Batteries and accumulators wastes,Recycled,2
North Lanarkshire,2019,"Metallic wastes, non-ferrous",Landfilled,0
Inverclyde,2019,Mineral waste from construction and demolition,Recycled,641
North Lanarkshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Midlothian,2019,Mineral waste from construction and demolition,Landfilled,0
Midlothian,2019,Mineral waste from construction and demolition,Other Diversion,0
Highland,2019,Batteries and accumulators wastes,Other Diversion,0
Midlothian,2019,Mineral waste from construction and demolition,Recycled,645
Renfrewshire,2019,Mineral waste from construction and demolition,Landfilled,0
Glasgow City,2019,Batteries and accumulators wastes,Other Diversion,0
Orkney Islands,2019,Batteries and accumulators wastes,Other Diversion,0
East Ayrshire,2019,Mineral waste from construction and demolition,Landfilled,0
East Lothian,2019,Mineral waste from construction and demolition,Other Diversion,0
Inverclyde,2019,Mineral waste from construction and demolition,Other Diversion,0
Clackmannanshire,2019,"Metallic wastes, ferrous",Recycled,168
South Lanarkshire,2019,"Metallic wastes, non-ferrous",Recycled,0
North Ayrshire,2019,Mineral waste from construction and demolition,Other Diversion,0
North Ayrshire,2019,Mineral waste from construction and demolition,Recycled,2493
East Lothian,2019,Batteries and accumulators wastes,Other Diversion,0
West Lothian,2019,Mineral waste from construction and demolition,Recycled,4078
East Lothian,2019,"Metallic wastes, non-ferrous",Landfilled,0
Clackmannanshire,2019,"Metallic wastes, ferrous",Other Diversion,0
Angus,2019,"Metallic wastes, non-ferrous",Landfilled,0
West Lothian,2019,"Metallic wastes, non-ferrous",Landfilled,0
Orkney Islands,2019,Batteries and accumulators wastes,Landfilled,0
Midlothian,2019,"Metallic wastes, non-ferrous",Other Diversion,0
Moray,2019,Batteries and accumulators wastes,Other Diversion,0
Angus,2019,"Metallic wastes, non-ferrous",Recycled,248
Moray,2019,Mineral waste from construction and demolition,Other Diversion,0
Moray,2019,Batteries and accumulators wastes,Landfilled,0
Angus,2019,"Metallic wastes, ferrous",Landfilled,0
Renfrewshire,2019,"Metallic wastes, ferrous",Landfilled,0
Renfrewshire,2019,Mineral waste from construction and demolition,Recycled,7707
North Lanarkshire,2019,Batteries and accumulators wastes,Recycled,34
Outer Hebrides,2019,"Metallic wastes, ferrous",Other Diversion,0
North Lanarkshire,2019,Mineral waste from construction and demolition,Landfilled,0
West Lothian,2019,Batteries and accumulators wastes,Recycled,1
West Lothian,2019,Mineral waste from construction and demolition,Landfilled,22
Renfrewshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Outer Hebrides,2019,Batteries and accumulators wastes,Recycled,0
Moray,2019,Mineral waste from construction and demolition,Recycled,2048
North Lanarkshire,2019,Mineral waste from construction and demolition,Recycled,3063
Midlothian,2019,"Metallic wastes, non-ferrous",Landfilled,0
Glasgow City,2019,"Metallic wastes, non-ferrous",Recycled,1645
Angus,2019,Mineral waste from construction and demolition,Other Diversion,0
Midlothian,2019,"Metallic wastes, non-ferrous",Recycled,112
Glasgow City,2019,Batteries and accumulators wastes,Recycled,9
Inverclyde,2019,Mineral waste from construction and demolition,Landfilled,0
Highland,2019,Batteries and accumulators wastes,Recycled,41
Renfrewshire,2019,Batteries and accumulators wastes,Other Diversion,0
Orkney Islands,2019,"Metallic wastes, non-ferrous",Recycled,0
Moray,2019,Mineral waste from construction and demolition,Landfilled,0
Outer Hebrides,2019,Mineral waste from construction and demolition,Recycled,0
East Ayrshire,2019,Batteries and accumulators wastes,Landfilled,0
Angus,2019,Mineral waste from construction and demolition,Recycled,2190
Angus,2019,Mineral waste from construction and demolition,Landfilled,0
Clackmannanshire,2019,Batteries and accumulators wastes,Other Diversion,0
Perth and Kinross,2019,Batteries and accumulators wastes,Recycled,28
East Ayrshire,2019,Mineral waste from construction and demolition,Recycled,83
Aberdeen City,2019,Batteries and accumulators wastes,Other Diversion,0
Stirling,2019,Batteries and accumulators wastes,Landfilled,0
West Dunbartonshire,2019,Mineral waste from construction and demolition,Recycled,3157
East Dunbartonshire,2019,Batteries and accumulators wastes,Other Diversion,0
Aberdeen City,2019,Batteries and accumulators wastes,Landfilled,0
West Dunbartonshire,2019,Batteries and accumulators wastes,Other Diversion,0
South Ayrshire,2019,Batteries and accumulators wastes,Recycled,79
East Renfrewshire,2019,Batteries and accumulators wastes,Other Diversion,0
Shetland Islands,2019,Batteries and accumulators wastes,Landfilled,0
North Ayrshire,2019,Mineral waste from construction and demolition,Landfilled,0
Perth and Kinross,2019,Batteries and accumulators wastes,Other Diversion,0
South Ayrshire,2019,Batteries and accumulators wastes,Other Diversion,0
Falkirk,2019,Batteries and accumulators wastes,Landfilled,0
Aberdeenshire,2019,"Metallic wastes, non-ferrous",Other Diversion,0
South Ayrshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Stirling,2019,Batteries and accumulators wastes,Recycled,7
Aberdeen City,2019,Batteries and accumulators wastes,Recycled,3
Aberdeenshire,2019,Batteries and accumulators wastes,Recycled,64
Stirling,2019,Mineral waste from construction and demolition,Other Diversion,0
Shetland Islands,2019,"Metallic wastes, ferrous",Recycled,36
Clackmannanshire,2019,Batteries and accumulators wastes,Recycled,8
South Ayrshire,2019,Mineral waste from construction and demolition,Recycled,5364
Falkirk,2019,Batteries and accumulators wastes,Other Diversion,0
Clackmannanshire,2019,Mineral waste from construction and demolition,Landfilled,0
Stirling,2019,Mineral waste from construction and demolition,Landfilled,0
City of Edinburgh,2019,Mineral waste from construction and demolition,Recycled,3128
City of Edinburgh,2019,Mineral waste from construction and demolition,Landfilled,0
City of Edinburgh,2019,Mineral waste from construction and demolition,Other Diversion,0
South Lanarkshire,2019,Batteries and accumulators wastes,Other Diversion,0
Glasgow City,2019,"Metallic wastes, ferrous",Recycled,3218
Dundee City,2019,Batteries and accumulators wastes,Landfilled,0
Falkirk,2019,Batteries and accumulators wastes,Recycled,8
Aberdeenshire,2019,Batteries and accumulators wastes,Landfilled,0
South Ayrshire,2019,Batteries and accumulators wastes,Landfilled,0
South Lanarkshire,2019,"Metallic wastes, non-ferrous",Landfilled,0
Outer Hebrides,2019,"Metallic wastes, non-ferrous",Other Diversion,0
Orkney Islands,2019,Mineral waste from construction and demolition,Other Diversion,0
Orkney Islands,2019,Mineral waste from construction and demolition,Recycled,0
Aberdeenshire,2019,Batteries and accumulators wastes,Other Diversion,0
Dundee City,2019,Batteries and accumulators wastes,Recycled,0
Glasgow City,2019,Mineral waste from construction and demolition,Landfilled,0
Moray,2019,"Metallic wastes, ferrous",Landfilled,0
Shetland Islands,2019,"Metallic wastes, ferrous",Other Diversion,0
Fife,2019,Batteries and accumulators wastes,Other Diversion,0
West Lothian,2019,Mineral waste from construction and demolition,Other Diversion,0
East Ayrshire,2019,Mineral waste from construction and demolition,Other Diversion,0
South Lanarkshire,2019,"Metallic wastes, non-ferrous",Other Diversion,0
Glasgow City,2019,Mineral waste from construction and demolition,Other Diversion,0
Perth and Kinross,2019,Batteries and accumulators wastes,Landfilled,0
Dumfries and Galloway,2019,Batteries and accumulators wastes,Recycled,37
Glasgow City,2019,Mineral waste from construction and demolition,Recycled,0
Argyll and Bute,2019,Batteries and accumulators wastes,Landfilled,0
Dumfries and Galloway,2019,Mixed and undifferentiated materials,Landfilled,19
East Dunbartonshire,2019,Mixed and undifferentiated materials,Landfilled,144
Outer Hebrides,2019,Batteries and accumulators wastes,Landfilled,0
North Lanarkshire,2019,Batteries and accumulators wastes,Landfilled,0
Angus,2019,Batteries and accumulators wastes,Recycled,21
East Lothian,2019,Batteries and accumulators wastes,Landfilled,0
Shetland Islands,2019,Mixed and undifferentiated materials,Other Diversion,0
Falkirk,2019,Mixed and undifferentiated materials,Recycled,1
Fife,2019,Animal and mixed food waste,Landfilled,1246
Moray,2019,Mixed and undifferentiated materials,Landfilled,142
Fife,2019,Animal and mixed food waste,Other Diversion,0
South Ayrshire,2019,Animal and mixed food waste,Landfilled,0
Inverclyde,2019,Batteries and accumulators wastes,Other Diversion,0
West Dunbartonshire,2019,Animal and mixed food waste,Other Diversion,0
Angus,2019,Batteries and accumulators wastes,Other Diversion,0
City of Edinburgh,2019,"Metallic wastes, non-ferrous",Landfilled,0
West Lothian,2019,Batteries and accumulators wastes,Landfilled,0
East Ayrshire,2019,Batteries and accumulators wastes,Other Diversion,0
Renfrewshire,2019,Batteries and accumulators wastes,Recycled,13
Inverclyde,2019,Batteries and accumulators wastes,Landfilled,0
Midlothian,2019,Batteries and accumulators wastes,Landfilled,0
City of Edinburgh,2019,"Metallic wastes, ferrous",Landfilled,0
East Ayrshire,2019,Batteries and accumulators wastes,Recycled,32
Angus,2019,Batteries and accumulators wastes,Landfilled,0
City of Edinburgh,2019,"Metallic wastes, ferrous",Recycled,427
Scottish Borders,2019,Batteries and accumulators wastes,Other Diversion,0
Dumfries and Galloway,2019,Mixed and undifferentiated materials,Other Diversion,1
East Dunbartonshire,2019,Mixed and undifferentiated materials,Recycled,6
Argyll and Bute,2019,Animal and mixed food waste,Recycled,702
West Dunbartonshire,2019,"Metallic wastes, non-ferrous",Recycled,80
Perth and Kinross,2019,Mixed and undifferentiated materials,Other Diversion,1175
South Lanarkshire,2019,Animal and mixed food waste,Landfilled,0
West Dunbartonshire,2019,Animal and mixed food waste,Landfilled,0
West Lothian,2019,"Metallic wastes, ferrous",Landfilled,0
East Ayrshire,2019,Animal and mixed food waste,Recycled,3013
Shetland Islands,2019,Mixed and undifferentiated materials,Landfilled,0
Outer Hebrides,2019,"Metallic wastes, ferrous",Landfilled,0
Angus,2019,Animal and mixed food waste,Landfilled,0
Shetland Islands,2019,Mixed and undifferentiated materials,Recycled,0
Fife,2019,"Metallic wastes, non-ferrous",Landfilled,0
Perth and Kinross,2019,Mixed and undifferentiated materials,Recycled,76
South Ayrshire,2019,Animal and mixed food waste,Other Diversion,0
East Ayrshire,2019,Mixed and undifferentiated materials,Recycled,379
Clackmannanshire,2019,Animal and mixed food waste,Recycled,1439
Clackmannanshire,2019,Animal and mixed food waste,Landfilled,0
Scottish Borders,2019,Mixed and undifferentiated materials,Landfilled,0
Moray,2019,Mixed and undifferentiated materials,Recycled,0
East Lothian,2019,Animal and mixed food waste,Other Diversion,0
East Dunbartonshire,2019,Animal and mixed food waste,Landfilled,0
Falkirk,2019,Animal and mixed food waste,Recycled,4914
Argyll and Bute,2019,Animal and mixed food waste,Other Diversion,0
North Lanarkshire,2019,"Metallic wastes, ferrous",Other Diversion,0
Argyll and Bute,2019,Animal and mixed food waste,Landfilled,0
Inverclyde,2019,Animal and mixed food waste,Other Diversion,0
Orkney Islands,2019,Batteries and accumulators wastes,Recycled,2
East Renfrewshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Glasgow City,2019,Batteries and accumulators wastes,Landfilled,0
Scottish Borders,2019,Mineral waste from construction and demolition,Recycled,1271
Renfrewshire,2019,"Metallic wastes, ferrous",Other Diversion,0
North Ayrshire,2019,Batteries and accumulators wastes,Recycled,1
West Lothian,2019,Batteries and accumulators wastes,Other Diversion,0
East Lothian,2019,"Metallic wastes, ferrous",Landfilled,0
Outer Hebrides,2019,Mineral waste from construction and demolition,Landfilled,0
East Renfrewshire,2019,Mineral waste from construction and demolition,Recycled,3966
City of Edinburgh,2019,Batteries and accumulators wastes,Other Diversion,0
Renfrewshire,2019,"Metallic wastes, non-ferrous",Recycled,375
North Ayrshire,2019,Batteries and accumulators wastes,Landfilled,0
Highland,2019,Mineral waste from construction and demolition,Landfilled,0
Renfrewshire,2019,"Metallic wastes, ferrous",Recycled,542
North Ayrshire,2019,Batteries and accumulators wastes,Other Diversion,0
Perth and Kinross,2019,"Metallic wastes, non-ferrous",Other Diversion,0
City of Edinburgh,2019,Batteries and accumulators wastes,Recycled,5
Outer Hebrides,2019,Mineral waste from construction and demolition,Other Diversion,0
Highland,2019,Mineral waste from construction and demolition,Other Diversion,0
Outer Hebrides,2019,"Metallic wastes, ferrous",Recycled,57
Dumfries and Galloway,2019,Mineral waste from construction and demolition,Other Diversion,0
Perth and Kinross,2019,"Metallic wastes, non-ferrous",Recycled,224
East Ayrshire,2019,"Metallic wastes, non-ferrous",Recycled,219
Dumfries and Galloway,2019,Mineral waste from construction and demolition,Landfilled,184
Stirling,2019,"Metallic wastes, non-ferrous",Other Diversion,0
Scottish Borders,2019,Mineral waste from construction and demolition,Landfilled,0
Outer Hebrides,2019,Batteries and accumulators wastes,Other Diversion,0
Orkney Islands,2019,Mineral waste from construction and demolition,Landfilled,0
Angus,2019,"Metallic wastes, ferrous",Other Diversion,0
East Dunbartonshire,2019,"Metallic wastes, ferrous",Recycled,0
Inverclyde,2019,Batteries and accumulators wastes,Recycled,0
Midlothian,2019,Batteries and accumulators wastes,Recycled,28
West Dunbartonshire,2019,"Metallic wastes, ferrous",Landfilled,0
Dumfries and Galloway,2019,Mixed and undifferentiated materials,Recycled,0
East Renfrewshire,2019,Batteries and accumulators wastes,Recycled,0
Scottish Borders,2019,Mineral waste from construction and demolition,Other Diversion,0
Highland,2019,Mineral waste from construction and demolition,Recycled,6804
Renfrewshire,2019,Batteries and accumulators wastes,Landfilled,0
North Lanarkshire,2019,Batteries and accumulators wastes,Other Diversion,0
Renfrewshire,2019,"Metallic wastes, non-ferrous",Landfilled,0
Shetland Islands,2019,Mineral waste from construction and demolition,Landfilled,0
West Dunbartonshire,2019,"Metallic wastes, non-ferrous",Other Diversion,0
East Dunbartonshire,2019,"Metallic wastes, ferrous",Other Diversion,0
City of Edinburgh,2019,Batteries and accumulators wastes,Landfilled,0
Angus,2019,"Metallic wastes, ferrous",Recycled,424
East Renfrewshire,2019,Mineral waste from construction and demolition,Landfilled,0
Midlothian,2019,Batteries and accumulators wastes,Other Diversion,0
Perth and Kinross,2019,Mineral waste from construction and demolition,Other Diversion,0
Outer Hebrides,2019,"Metallic wastes, non-ferrous",Recycled,24
Dumfries and Galloway,2019,Batteries and accumulators wastes,Landfilled,0
Dumfries and Galloway,2019,Mineral waste from construction and demolition,Recycled,4935
East Dunbartonshire,2019,Chemical wastes,Other Diversion,0
East Dunbartonshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Moray,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,30
Glasgow City,2019,Chemical wastes,Landfilled,0
Stirling,2019,Chemical wastes,Landfilled,0
East Dunbartonshire,2019,Chemical wastes,Landfilled,0
Glasgow City,2019,Chemical wastes,Recycled,25
South Lanarkshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,157
Highland,2019,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,34
Falkirk,2019,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
Dundee City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Outer Hebrides,2019,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,531
Inverclyde,2019,Chemical wastes,Recycled,29
Argyll and Bute,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Glasgow City,2019,Chemical wastes,Other Diversion,0
South Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Aberdeenshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Midlothian,2019,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
North Ayrshire,2019,"Metallic wastes, ferrous",Recycled,465
Inverclyde,2019,Chemical wastes,Other Diversion,0
East Lothian,2019,Chemical wastes,Recycled,7
Midlothian,2019,Chemical wastes,Landfilled,0
Stirling,2019,Chemical wastes,Recycled,6
North Lanarkshire,2019,Chemical wastes,Other Diversion,0
Moray,2019,Chemical wastes,Other Diversion,0
Renfrewshire,2019,Chemical wastes,Recycled,0
West Lothian,2019,Chemical wastes,Recycled,4
East Dunbartonshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,320
North Lanarkshire,2019,Chemical wastes,Landfilled,0
West Dunbartonshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Ayrshire,2019,Chemical wastes,Landfilled,0
Glasgow City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Angus,2019,Chemical wastes,Landfilled,0
Fife,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Dundee City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Dundee City,2019,Chemical wastes,Recycled,3
Orkney Islands,2019,"Metallic wastes, ferrous",Other Diversion,0
Orkney Islands,2019,"Metallic wastes, ferrous",Recycled,0
East Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Orkney Islands,2019,"Metallic wastes, ferrous",Landfilled,0
West Dunbartonshire,2019,Chemical wastes,Recycled,0
Falkirk,2019,Chemical wastes,Other Diversion,0
Highland,2019,Chemical wastes,Landfilled,0
East Ayrshire,2019,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,733
South Lanarkshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Dundee City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,797
North Ayrshire,2019,"Metallic wastes, ferrous",Landfilled,0
Falkirk,2019,Chemical wastes,Landfilled,0
East Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,801
South Lanarkshire,2019,Chemical wastes,Landfilled,0
Aberdeen City,2019,Chemical wastes,Landfilled,0
Aberdeen City,2019,Chemical wastes,Recycled,378
Aberdeen City,2019,Chemical wastes,Other Diversion,0
Glasgow City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1584
Glasgow City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
South Lanarkshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2096
Highland,2019,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Highland,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2267
East Renfrewshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,800
Midlothian,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Scottish Borders,2019,"Metallic wastes, ferrous",Other Diversion,0
Dumfries and Galloway,2019,"Metallic wastes, ferrous",Landfilled,0
Outer Hebrides,2019,Chemical wastes,Recycled,0
Outer Hebrides,2019,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
Scottish Borders,2019,Chemical wastes,Other Diversion,0
North Lanarkshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Lanarkshire,2019,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,525
Highland,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,170
Highland,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Highland,2019,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,2272
Aberdeen City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1405
Shetland Islands,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Scottish Borders,2019,"Metallic wastes, ferrous",Landfilled,0
North Lanarkshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1999
Aberdeen City,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Outer Hebrides,2019,Chemical wastes,Landfilled,0
Renfrewshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Midlothian,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
East Ayrshire,2019,"Metallic wastes, ferrous",Other Diversion,0
Perth and Kinross,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,39
Inverclyde,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,447
East Lothian,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,686
Outer Hebrides,2019,Chemical wastes,Other Diversion,0
Stirling,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,607
Fife,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2636
Stirling,2019,Chemical wastes,Other Diversion,0
West Dunbartonshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,381
Clackmannanshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
South Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,888
Moray,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Glasgow City,2019,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
North Ayrshire,2019,"Metallic wastes, ferrous",Other Diversion,0
Moray,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,814
Argyll and Bute,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Midlothian,2019,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,1089
South Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
East Renfrewshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
East Lothian,2019,Chemical wastes,Landfilled,0
East Lothian,2019,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,2
Moray,2019,Chemical wastes,Landfilled,0
Dumfries and Galloway,2019,Chemical wastes,Landfilled,0
Falkirk,2019,Chemical wastes,Recycled,28
East Lothian,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Midlothian,2019,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
Renfrewshire,2019,Chemical wastes,Other Diversion,0
North Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
East Ayrshire,2019,Chemical wastes,Landfilled,0
Aberdeenshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2372
West Dunbartonshire,2019,Mineral waste from construction and demolition,Landfilled,0
Dundee City,2019,Mineral waste from construction and demolition,Recycled,556
South Lanarkshire,2019,Mineral waste from construction and demolition,Recycled,6701
Stirling,2019,"Metallic wastes, non-ferrous",Recycled,158
Fife,2019,Mineral waste from construction and demolition,Other Diversion,0
Clackmannanshire,2019,Mineral waste from construction and demolition,Recycled,1028
Clackmannanshire,2019,Batteries and accumulators wastes,Landfilled,0
Scottish Borders,2019,Batteries and accumulators wastes,Landfilled,0
Fife,2019,Batteries and accumulators wastes,Landfilled,0
Dumfries and Galloway,2019,Batteries and accumulators wastes,Other Diversion,0
East Renfrewshire,2019,Batteries and accumulators wastes,Landfilled,0
Dundee City,2019,Batteries and accumulators wastes,Other Diversion,0
Aberdeenshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Dundee City,2019,Mineral waste from construction and demolition,Landfilled,0
Stirling,2019,"Metallic wastes, non-ferrous",Landfilled,0
East Lothian,2019,Batteries and accumulators wastes,Recycled,14
Fife,2019,Mineral waste from construction and demolition,Recycled,6081
Aberdeenshire,2019,Mineral waste from construction and demolition,Landfilled,0
South Lanarkshire,2019,Mineral waste from construction and demolition,Landfilled,0
Fife,2019,Mineral waste from construction and demolition,Landfilled,0
South Lanarkshire,2019,Batteries and accumulators wastes,Recycled,36
Glasgow City,2019,"Metallic wastes, ferrous",Landfilled,0
Shetland Islands,2019,Batteries and accumulators wastes,Other Diversion,0
South Lanarkshire,2019,"Metallic wastes, ferrous",Recycled,0
South Ayrshire,2019,Mineral waste from construction and demolition,Landfilled,0
Stirling,2019,Mineral waste from construction and demolition,Recycled,1395
Argyll and Bute,2019,Mineral waste from construction and demolition,Landfilled,0
Argyll and Bute,2019,Batteries and accumulators wastes,Other Diversion,0
Midlothian,2019,"Metallic wastes, ferrous",Other Diversion,0
East Dunbartonshire,2019,Mineral waste from construction and demolition,Recycled,886
East Dunbartonshire,2019,Batteries and accumulators wastes,Landfilled,0
Highland,2019,"Metallic wastes, non-ferrous",Landfilled,0
South Lanarkshire,2019,"Metallic wastes, ferrous",Other Diversion,0
South Lanarkshire,2019,Batteries and accumulators wastes,Landfilled,0
East Dunbartonshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Falkirk,2019,"Metallic wastes, non-ferrous",Other Diversion,0
Shetland Islands,2019,Batteries and accumulators wastes,Recycled,9
East Lothian,2019,Mineral waste from construction and demolition,Recycled,1370
Stirling,2019,Batteries and accumulators wastes,Other Diversion,0
Midlothian,2019,"Metallic wastes, ferrous",Recycled,288
Aberdeenshire,2019,"Metallic wastes, non-ferrous",Recycled,264
South Lanarkshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Highland,2019,Batteries and accumulators wastes,Landfilled,0
East Dunbartonshire,2019,Batteries and accumulators wastes,Recycled,3
Argyll and Bute,2019,Mineral waste from construction and demolition,Recycled,524
Renfrewshire,2019,"Metallic wastes, non-ferrous",Other Diversion,0
Dundee City,2019,Mineral waste from construction and demolition,Other Diversion,0
Aberdeenshire,2019,"Metallic wastes, non-ferrous",Landfilled,0
Fife,2019,Batteries and accumulators wastes,Recycled,54
East Lothian,2019,Mineral waste from construction and demolition,Landfilled,0
South Lanarkshire,2019,"Metallic wastes, ferrous",Landfilled,0
Falkirk,2019,Mineral waste from construction and demolition,Landfilled,0
Glasgow City,2019,"Metallic wastes, ferrous",Other Diversion,0
Argyll and Bute,2019,Batteries and accumulators wastes,Recycled,0
Clackmannanshire,2019,Mineral waste from construction and demolition,Other Diversion,0
Clackmannanshire,2019,"Metallic wastes, ferrous",Landfilled,0
Renfrewshire,2019,Chemical wastes,Landfilled,0
Renfrewshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,927
Clackmannanshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
South Ayrshire,2019,"Metallic wastes, ferrous",Other Diversion,0
South Ayrshire,2019,"Metallic wastes, ferrous",Landfilled,0
Aberdeenshire,2019,Chemical wastes,Other Diversion,0
North Ayrshire,2019,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
