region,year,material,management,tonnes
Stirling,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,582
City of Edinburgh,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Argyll and Bute,2011,"Metallic wastes, non-ferrous",Recycled,33
South Lanarkshire,2011,Batteries and accumulators wastes,Recycled,25
West Dunbartonshire,2011,Batteries and accumulators wastes,Recycled,0
West Dunbartonshire,2011,Batteries and accumulators wastes,Other Diversion,0
West Lothian,2011,Batteries and accumulators wastes,Other Diversion,0
Dumfries and Galloway,2011,Batteries and accumulators wastes,Recycled,39
Scottish Borders,2011,Batteries and accumulators wastes,Recycled,11
Shetland Islands,2011,Batteries and accumulators wastes,Other Diversion,0
Dundee City,2011,Batteries and accumulators wastes,Other Diversion,0
Aberdeen City,2011,Batteries and accumulators wastes,Landfilled,0
Fife,2011,"Metallic wastes, non-ferrous",Landfilled,0
East Lothian,2011,Batteries and accumulators wastes,Other Diversion,0
Fife,2011,Batteries and accumulators wastes,Landfilled,0
North Ayrshire,2011,"Metallic wastes, non-ferrous",Recycled,16
East Dunbartonshire,2011,Batteries and accumulators wastes,Landfilled,0
Clackmannanshire,2011,Batteries and accumulators wastes,Landfilled,0
Clackmannanshire,2011,Batteries and accumulators wastes,Recycled,6
Argyll and Bute,2011,Batteries and accumulators wastes,Other Diversion,0
Dumfries and Galloway,2011,"Metallic wastes, non-ferrous",Recycled,0
Stirling,2011,"Metallic wastes, non-ferrous",Landfilled,0
Falkirk,2011,Batteries and accumulators wastes,Landfilled,0
Fife,2011,Batteries and accumulators wastes,Other Diversion,0
North Lanarkshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Inverclyde,2011,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
East Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1617
Inverclyde,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Angus,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,966
North Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Outer Hebrides,2011,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,758
Moray,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1031
East Ayrshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Moray,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
South Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1769
Falkirk,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1218
Dundee City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,770
Outer Hebrides,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Outer Hebrides,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,101
Outer Hebrides,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
North Lanarkshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Argyll and Bute,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
North Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Glasgow City,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Midlothian,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,641
Clackmannanshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,573
Outer Hebrides,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
East Renfrewshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
West Lothian,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Moray,2011,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,924
South Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Argyll and Bute,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Falkirk,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
City of Edinburgh,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
North Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2085
