region,year,quarter,yyyy-MM-dd,material,tonnes-weight,tonnes-co2e
Stirling,2019,4,2019-12-31,Scrap Metal,0.018004,0.055472516956400006
Stirling,2014,4,2014-12-31,Wood,0.002257,0.003290706
Stirling,2019,3,2019-09-30,Textiles & Footwear,1.8260999999999997,40.77934068761999
Stirling,2019,4,2019-12-31,Small WEEE,0.01441,0.025658448882000005
Stirling,2017,4,2017-12-31,Aluminium,0,0.0
Stirling,2015,4,2015-12-31,Small WEEE,0.01319,0.023438629999999996
Stirling,2015,3,2015-09-30,Books,0.423032,0.642585608
Stirling,2017,4,2017-12-31,Small WEEE,0.032187999999999995,0.05734292199999999
Stirling,2014,2,2014-06-30,Aggregates (rubble),0.045086,0.000360688
Stirling,2015,1,2015-03-31,Mixed Cans,0,0.0
Stirling,2017,3,2017-09-30,Glass (Mixed - assumed go to aggregates),0.235596,0.2157116976
Stirling,2015,1,2015-03-31,Textiles & Footwear,0.168624,3.8125886399999995
Stirling,2015,1,2015-03-31,Wood,0.006127000000000001,0.008933166000000002
Stirling,2014,1,2014-03-31,Paper & Cardboard,0,0.0
Stirling,2016,2,2016-06-30,Aggregates (rubble),0.034966,0.016329121999999998
Stirling,2015,2,2015-06-30,Textiles & Footwear,0.153549,3.47174289
Stirling,2017,1,2017-03-31,Food & Drink,0,0.0
Stirling,2017,2,2017-06-30,Aluminium,0,0.0
Stirling,2015,4,2015-12-31,Mixed Cans,0,0.0
Stirling,2016,4,2016-12-31,Small WEEE,0.02639,0.047013785
Stirling,2014,4,2014-12-31,Paper & Cardboard,0.0249419999999999997,0.0401845949999999997
Stirling,2014,4,2014-12-31,Glass (colour separated - assumed remelt),0.004268999999999999,0.0038207549999999992
Stirling,2014,4,2014-12-31,Textiles & Footwear,0.07659,1.7316999
Stirling,2015,4,2015-12-31,Food & Drink,0.00196,0.008839599999999999
Stirling,2018,4,2018-12-31,Plastics,0.0441,0.13847499225
Stirling,2018,3,2018-09-30,Books,0.6126320000000001,0.58812672
Stirling,2014,1,2014-03-31,Large WEEE (excluding fluorescent tubes),0.2449,0.407191799999999995
Stirling,2018,2,2018-06-30,Books,0.15605199999999996,0.14980991999999998
Stirling,2013,2,2013-06-30,Scrap Metal,0.0624,0.1704015000000000299
Stirling,2017,1,2017-03-31,Books,0.06428399999999999,0.061712639999999986
Stirling,2019,3,2019-09-30,WEEE (Fridges/Freezers),0,0.0
Stirling,2018,3,2018-09-30,Wood,0.0069959999999999996,0.0031901759999999997
Stirling,2016,1,2016-03-31,Glass (colour separated - assumed remelt),0.015609,0.013963811399999999
Stirling,2014,2,2014-06-30,Mixed Cans,0.000071,0.00034072899999999995
Stirling,2016,3,2016-09-30,Textiles & Footwear,1.02444,22.87676964
Stirling,2018,1,2018-03-31,Glass (Mixed - assumed go to aggregates),0.015172,0.0138914832
Stirling,2018,3,2018-09-30,Paper & Cardboard,0.01615,0.015503999999999998
Stirling,2017,2,2017-06-30,Aggregates,0.028380000000000003,0.00031218
Stirling,2017,2,2017-06-30,Scrap Metal,0.00026,0.000771394
Stirling,2015,4,2015-12-31,Glass (colour separated - assumed remelt),0.004575,0.004092795
Stirling,2013,2,2013-06-30,Aggregates (rubble),0.097525,0.0007802000000000001
Stirling,2013,1,2013-03-31,Glass (Mixed - assumed go to aggregates),0,0.0
Stirling,2016,4,2016-12-31,Books,0.6526,0.626496
Stirling,2015,4,2015-12-31,plastic bottles (Average rigid plastics used - HDPE and PET),0.003515,0.011652225000000001
Stirling,2014,1,2014-03-31,Aluminium,0.0057,0.0562305
Stirling,2019,3,2019-09-30,Food & Drink,0.19927999999999997,0.8133708455839999
Stirling,2014,3,2014-09-30,Small WEEE,0.16214599999999998,0.27369486399999995
Stirling,2018,4,2018-12-31,Mixed Cans,0,0.0
Stirling,2014,2,2014-06-30,plastic bags (average plastic film used - LLDPE),0.00247,0.0064837500000000015
Stirling,2015,1,2015-03-31,Glass (colour separated - assumed remelt),0.028302999999999997,0.025331184999999998
Stirling,2018,1,2018-03-31,Batteries,0,0.0
Stirling,2014,4,2014-12-31,Food & Drink,0.0013,0.005252370705084802
Stirling,2019,4,2019-12-31,Wood,0.008244,0.0036042537167999997
Stirling,2018,1,2018-03-31,Aggregates,0.051019999999999996,0.0005612199999999999
Stirling,2013,2,2013-06-30,Paper & Cardboard,0.01798,0.0282218
Stirling,2013,1,2013-03-31,Mixed Cans,0,0.0
Stirling,2016,1,2016-03-31,Food & Drink,0.001525,0.006877749999999999
Stirling,2014,1,2014-03-31,plastic bags (average plastic film used - LLDPE),0,0.0
Stirling,2017,3,2017-09-30,Batteries,0,0.0
Stirling,2019,2,2019-06-30,Books,0.16331700000000004,0.15950411965950002
Stirling,2016,2,2016-06-30,plastic bottles (Average rigid plastics used - HDPE and PET),0.014699,0.048727185000000006
Stirling,2018,2,2018-06-30,Batteries,0,0.0
Stirling,2015,3,2015-09-30,Food & Drink,0.935285,4.21813535
Stirling,2019,1,2019-03-31,Small WEEE,0.034083999999999996,0.060689977216799996
Stirling,2016,3,2016-09-30,Aluminium,0.353336,4.569694488
Stirling,2018,3,2018-09-30,Mixed Cans,0.009591999999999999,0.06273167999999999
Stirling,2015,3,2015-09-30,plastic bottles (Average rigid plastics used - HDPE and PET),0.445597,1.477154055
Stirling,2017,1,2017-03-31,Batteries,0,0.0
Stirling,2014,4,2014-12-31,Large WEEE (excluding fluorescent tubes),0,0.0
Stirling,2017,4,2017-12-31,Batteries,0.050760000000000005,0.6179014800000001
Stirling,2014,1,2014-03-31,Glass (colour separated - assumed remelt),0.0071,0.0063545
Stirling,2015,2,2015-06-30,plastic bags (average plastic film used - LLDPE),0.001553,0.004076625
Stirling,2014,3,2014-09-30,Large WEEE (excluding fluorescent tubes),0.1098,0.15782819999999999
Stirling,2018,4,2018-12-31,Aggregates,0.027967999999999996,0.00021849440639999995
Stirling,2013,2,2013-06-30,Food & Drink,0.039900000000000006,0.16120737779452588
Stirling,2018,2,2018-06-30,Mixed Cans,0,0.0
Stirling,2019,1,2019-03-31,Aluminium,0.17175599999999997,2.2147262916479995
