business-sector,year,material,tonnes
"Agriculture, forestry and fishing",2017,"Metallic wastes, mixed ferrous and non-ferrous",3757
Water industry,2017,Glass wastes,905
Manufacture of wood products,2017,Glass wastes,903
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Glass wastes,913
Mining and quarrying,2017,Glass wastes,1026
Commerce,2017,Glass wastes,54089
Power industry,2017,Glass wastes,906
Other manufacturing,2017,Glass wastes,3922
Waste management,2017,Glass wastes,1523
Manufacture of food and beverage products,2017,Glass wastes,27386
"Agriculture, forestry and fishing",2017,Glass wastes,931
Water industry,2017,Paper and cardboard wastes,657
Manufacture of wood products,2017,Paper and cardboard wastes,1668
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Paper and cardboard wastes,804
Mining and quarrying,2017,Paper and cardboard wastes,2884
Commerce,2017,Paper and cardboard wastes,27286
Power industry,2017,Paper and cardboard wastes,748
Other manufacturing,2017,Paper and cardboard wastes,3501
Waste management,2017,Paper and cardboard wastes,1331
Manufacture of food and beverage products,2017,Paper and cardboard wastes,3595
"Agriculture, forestry and fishing",2017,Paper and cardboard wastes,688
Water industry,2017,Rubber wastes,3
Manufacture of wood products,2017,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Rubber wastes,1
Mining and quarrying,2017,Rubber wastes,7
Commerce,2017,Rubber wastes,56981
Power industry,2017,Rubber wastes,4
Other manufacturing,2017,Rubber wastes,1
Waste management,2017,Rubber wastes,0
Manufacture of food and beverage products,2017,Rubber wastes,78
"Agriculture, forestry and fishing",2017,Rubber wastes,2214
Water industry,2017,Plastic wastes,452
Manufacture of wood products,2017,Plastic wastes,698
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Plastic wastes,762
Mining and quarrying,2017,Plastic wastes,714
Commerce,2017,Plastic wastes,6504
Power industry,2017,Plastic wastes,463
Other manufacturing,2017,Plastic wastes,757
Waste management,2017,Plastic wastes,970
Manufacture of food and beverage products,2017,Plastic wastes,1053
"Agriculture, forestry and fishing",2017,Plastic wastes,23848
Water industry,2017,Wood wastes,14029
Manufacture of wood products,2017,Wood wastes,19954
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Wood wastes,868
Mining and quarrying,2017,Wood wastes,4299
Commerce,2017,Wood wastes,49063
Power industry,2017,Wood wastes,473
Other manufacturing,2017,Wood wastes,22742
Waste management,2017,Wood wastes,1318
Manufacture of food and beverage products,2017,Wood wastes,663
"Agriculture, forestry and fishing",2017,Wood wastes,411
Water industry,2017,Textile wastes,9
Manufacture of wood products,2017,Textile wastes,9
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Textile wastes,9
Mining and quarrying,2017,Textile wastes,11
Commerce,2017,Textile wastes,607
Power industry,2017,Textile wastes,9
Other manufacturing,2017,Textile wastes,4105
Waste management,2017,Textile wastes,10
Manufacture of food and beverage products,2017,Textile wastes,9
"Agriculture, forestry and fishing",2017,Textile wastes,9
Water industry,2017,Waste containing PCB,0
Manufacture of wood products,2017,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Waste containing PCB,3
Mining and quarrying,2017,Waste containing PCB,5
Commerce,2017,Waste containing PCB,160
Power industry,2017,Waste containing PCB,0
Other manufacturing,2017,Waste containing PCB,2
Waste management,2017,Waste containing PCB,0
Manufacture of food and beverage products,2017,Waste containing PCB,1
"Agriculture, forestry and fishing",2017,Waste containing PCB,1
Water industry,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1128
Manufacture of wood products,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",88
"Manufacture of chemicals, plastics and pharmaceuticals",2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",146
Mining and quarrying,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",423
Commerce,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",13940
Power industry,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",90
Other manufacturing,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",3152
Waste management,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",76
Manufacture of food and beverage products,2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",249
"Agriculture, forestry and fishing",2017,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",133
Water industry,2017,Discarded vehicles,0
Manufacture of wood products,2017,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Discarded vehicles,0
Mining and quarrying,2017,Discarded vehicles,0
Commerce,2017,Discarded vehicles,77370
Power industry,2017,Discarded vehicles,8
Other manufacturing,2017,Discarded vehicles,0
Waste management,2017,Discarded vehicles,0
Manufacture of food and beverage products,2017,Discarded vehicles,3183
"Agriculture, forestry and fishing",2017,Discarded vehicles,5176
Water industry,2017,Batteries and accumulators wastes,29
Manufacture of wood products,2017,Batteries and accumulators wastes,32
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Batteries and accumulators wastes,90
Mining and quarrying,2017,Batteries and accumulators wastes,501
Commerce,2017,Batteries and accumulators wastes,9080
Power industry,2017,Batteries and accumulators wastes,173
Other manufacturing,2017,Batteries and accumulators wastes,869
Waste management,2017,Batteries and accumulators wastes,11
Manufacture of food and beverage products,2017,Batteries and accumulators wastes,347
"Agriculture, forestry and fishing",2017,Batteries and accumulators wastes,868
Water industry,2017,Animal and mixed food waste,1032
Manufacture of wood products,2017,Animal and mixed food waste,109
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Animal and mixed food waste,315
Mining and quarrying,2017,Animal and mixed food waste,328
Commerce,2017,Animal and mixed food waste,75309
Power industry,2017,Animal and mixed food waste,109
Other manufacturing,2017,Animal and mixed food waste,180
Waste management,2017,Animal and mixed food waste,109
Manufacture of food and beverage products,2017,Animal and mixed food waste,164522
"Agriculture, forestry and fishing",2017,Animal and mixed food waste,12408
Water industry,2017,Vegetal wastes,39
Manufacture of wood products,2017,Vegetal wastes,36
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Vegetal wastes,444
Mining and quarrying,2017,Vegetal wastes,47
Commerce,2017,Vegetal wastes,62272
Power industry,2017,Vegetal wastes,36
Other manufacturing,2017,Vegetal wastes,82
Waste management,2017,Vegetal wastes,72
Manufacture of food and beverage products,2017,Vegetal wastes,486326
"Agriculture, forestry and fishing",2017,Vegetal wastes,21073
Water industry,2017,"Animal faeces, urine and manure",7
Manufacture of wood products,2017,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,"Animal faeces, urine and manure",26
Mining and quarrying,2017,"Animal faeces, urine and manure",35
Commerce,2017,"Animal faeces, urine and manure",24
Power industry,2017,"Animal faeces, urine and manure",0
Other manufacturing,2017,"Animal faeces, urine and manure",0
Waste management,2017,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2017,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2017,"Animal faeces, urine and manure",78504
Water industry,2017,Household and similar wastes,1119
Manufacture of wood products,2017,Household and similar wastes,2782
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Household and similar wastes,1520
Mining and quarrying,2017,Household and similar wastes,11131
Commerce,2017,Household and similar wastes,659371
Power industry,2017,Household and similar wastes,1555
Other manufacturing,2017,Household and similar wastes,12319
Waste management,2017,Household and similar wastes,555
Manufacture of food and beverage products,2017,Household and similar wastes,5882
"Agriculture, forestry and fishing",2017,Household and similar wastes,3186
Water industry,2017,Mixed and undifferentiated materials,12382
Manufacture of wood products,2017,Mixed and undifferentiated materials,4978
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Mixed and undifferentiated materials,10924
Mining and quarrying,2017,Mixed and undifferentiated materials,8342
Commerce,2017,Mixed and undifferentiated materials,82901
Power industry,2017,Mixed and undifferentiated materials,4611
Other manufacturing,2017,Mixed and undifferentiated materials,15639
Waste management,2017,Mixed and undifferentiated materials,9320
Manufacture of food and beverage products,2017,Mixed and undifferentiated materials,15240
"Agriculture, forestry and fishing",2017,Mixed and undifferentiated materials,10183
Water industry,2017,Sorting residues,2424
Manufacture of wood products,2017,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Sorting residues,449
Mining and quarrying,2017,Sorting residues,0
Commerce,2017,Sorting residues,383
Power industry,2017,Sorting residues,1
Other manufacturing,2017,Sorting residues,5907
Waste management,2017,Sorting residues,0
Manufacture of food and beverage products,2017,Sorting residues,0
"Agriculture, forestry and fishing",2017,Sorting residues,0
Water industry,2017,Common sludges,167938
Manufacture of wood products,2017,Common sludges,4
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Common sludges,10
Mining and quarrying,2017,Common sludges,1
Commerce,2017,Common sludges,40
Power industry,2017,Common sludges,0
Other manufacturing,2017,Common sludges,206
Waste management,2017,Common sludges,0
Manufacture of food and beverage products,2017,Common sludges,5634
"Agriculture, forestry and fishing",2017,Common sludges,1792
Water industry,2017,Mineral waste from construction and demolition,72
Manufacture of wood products,2017,Mineral waste from construction and demolition,66
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Mineral waste from construction and demolition,42
Mining and quarrying,2017,Mineral waste from construction and demolition,752
Commerce,2017,Mineral waste from construction and demolition,3217
Power industry,2017,Mineral waste from construction and demolition,37
Other manufacturing,2017,Mineral waste from construction and demolition,1116
Waste management,2017,Mineral waste from construction and demolition,0
Manufacture of food and beverage products,2017,Mineral waste from construction and demolition,0
"Agriculture, forestry and fishing",2017,Mineral waste from construction and demolition,1
Water industry,2017,Other mineral wastes,2663
Manufacture of wood products,2017,Other mineral wastes,1
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Other mineral wastes,541
Mining and quarrying,2017,Other mineral wastes,103391
Commerce,2017,Other mineral wastes,3419
Power industry,2017,Other mineral wastes,11
Other manufacturing,2017,Other mineral wastes,8204
Waste management,2017,Other mineral wastes,5
Manufacture of food and beverage products,2017,Other mineral wastes,0
"Agriculture, forestry and fishing",2017,Other mineral wastes,1
Water industry,2017,Combustion wastes,2
Manufacture of wood products,2017,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Combustion wastes,0
Mining and quarrying,2017,Combustion wastes,1
Commerce,2017,Combustion wastes,0
Power industry,2017,Combustion wastes,20495
Other manufacturing,2017,Combustion wastes,816
Waste management,2017,Combustion wastes,0
Manufacture of food and beverage products,2017,Combustion wastes,0
"Agriculture, forestry and fishing",2017,Combustion wastes,0
Water industry,2017,Soils,119
Manufacture of wood products,2017,Soils,61
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Soils,77
Mining and quarrying,2017,Soils,730
Commerce,2017,Soils,42340
Power industry,2017,Soils,77
Other manufacturing,2017,Soils,443
Waste management,2017,Soils,28
Manufacture of food and beverage products,2017,Soils,63
"Agriculture, forestry and fishing",2017,Soils,3063
Water industry,2017,Dredging spoils,0
Manufacture of wood products,2017,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Dredging spoils,0
Mining and quarrying,2017,Dredging spoils,0
Commerce,2017,Dredging spoils,76
Power industry,2017,Dredging spoils,0
Other manufacturing,2017,Dredging spoils,0
Waste management,2017,Dredging spoils,0
Manufacture of food and beverage products,2017,Dredging spoils,0
"Agriculture, forestry and fishing",2017,Dredging spoils,0
Water industry,2017,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of wood products,2017,Mineral wastes from waste treatment and stabilised wastes,5274
"Manufacture of chemicals, plastics and pharmaceuticals",2017,Mineral wastes from waste treatment and stabilised wastes,5020
Mining and quarrying,2017,Mineral wastes from waste treatment and stabilised wastes,9
Commerce,2017,Mineral wastes from waste treatment and stabilised wastes,271
Power industry,2017,Mineral wastes from waste treatment and stabilised wastes,1028
Other manufacturing,2017,Mineral wastes from waste treatment and stabilised wastes,12057
Waste management,2017,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of food and beverage products,2017,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2017,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2018,Spent solvents,6
Manufacture of wood products,2018,Spent solvents,6
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Spent solvents,47047
Mining and quarrying,2018,Spent solvents,301
Commerce,2018,Spent solvents,65
Power industry,2018,Spent solvents,6
Other manufacturing,2018,Spent solvents,10
Waste management,2018,Spent solvents,6
Manufacture of food and beverage products,2018,Spent solvents,6
"Agriculture, forestry and fishing",2018,Spent solvents,6
Water industry,2018,"Acid, alkaline or saline wastes",1
Manufacture of wood products,2018,"Acid, alkaline or saline wastes",1
"Manufacture of chemicals, plastics and pharmaceuticals",2018,"Acid, alkaline or saline wastes",2175
Mining and quarrying,2018,"Acid, alkaline or saline wastes",111
Commerce,2018,"Acid, alkaline or saline wastes",36
Power industry,2018,"Acid, alkaline or saline wastes",1
Other manufacturing,2018,"Acid, alkaline or saline wastes",2398
Waste management,2018,"Acid, alkaline or saline wastes",1
Manufacture of food and beverage products,2018,"Acid, alkaline or saline wastes",1
"Agriculture, forestry and fishing",2018,"Acid, alkaline or saline wastes",1
Water industry,2018,Used oils,246
Manufacture of wood products,2018,Used oils,259
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Used oils,2029
Mining and quarrying,2018,Used oils,10615
Commerce,2018,Used oils,21268
Power industry,2018,Used oils,618
Other manufacturing,2018,Used oils,7421
Waste management,2018,Used oils,0
Manufacture of food and beverage products,2018,Used oils,271
"Agriculture, forestry and fishing",2018,Used oils,3827
Water industry,2018,Chemical wastes,2018
Manufacture of wood products,2018,Chemical wastes,2175
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Chemical wastes,21758
Mining and quarrying,2018,Chemical wastes,17776
Commerce,2018,Chemical wastes,23435
Power industry,2018,Chemical wastes,1804
Other manufacturing,2018,Chemical wastes,5967
Waste management,2018,Chemical wastes,741
Manufacture of food and beverage products,2018,Chemical wastes,4219
"Agriculture, forestry and fishing",2018,Chemical wastes,35336
Water industry,2018,Industrial effluent sludges,65
Manufacture of wood products,2018,Industrial effluent sludges,1207
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Industrial effluent sludges,2540
Mining and quarrying,2018,Industrial effluent sludges,44752
Commerce,2018,Industrial effluent sludges,990
Power industry,2018,Industrial effluent sludges,485
Other manufacturing,2018,Industrial effluent sludges,8770
Waste management,2018,Industrial effluent sludges,0
Manufacture of food and beverage products,2018,Industrial effluent sludges,39
"Agriculture, forestry and fishing",2018,Industrial effluent sludges,108
Water industry,2018,Sludges and liquid wastes from waste treatment,0
Manufacture of wood products,2018,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Sludges and liquid wastes from waste treatment,0
Mining and quarrying,2018,Sludges and liquid wastes from waste treatment,0
Commerce,2018,Sludges and liquid wastes from waste treatment,0
Power industry,2018,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2018,Sludges and liquid wastes from waste treatment,0
Waste management,2018,Sludges and liquid wastes from waste treatment,0
Manufacture of food and beverage products,2018,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2018,Sludges and liquid wastes from waste treatment,0
Water industry,2018,Health care and biological wastes,0
Manufacture of wood products,2018,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Health care and biological wastes,0
Mining and quarrying,2018,Health care and biological wastes,5
Commerce,2018,Health care and biological wastes,26733
Power industry,2018,Health care and biological wastes,0
Other manufacturing,2018,Health care and biological wastes,0
Waste management,2018,Health care and biological wastes,0
Manufacture of food and beverage products,2018,Health care and biological wastes,0
"Agriculture, forestry and fishing",2018,Health care and biological wastes,0
Water industry,2018,"Metallic wastes, ferrous",0
Manufacture of wood products,2018,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,"Metallic wastes, ferrous",0
Mining and quarrying,2018,"Metallic wastes, ferrous",4488
Commerce,2018,"Metallic wastes, ferrous",50786
Power industry,2018,"Metallic wastes, ferrous",6
Other manufacturing,2018,"Metallic wastes, ferrous",15553
Waste management,2018,"Metallic wastes, ferrous",0
Manufacture of food and beverage products,2018,"Metallic wastes, ferrous",100
"Agriculture, forestry and fishing",2018,"Metallic wastes, ferrous",3478
Water industry,2018,"Metallic wastes, non-ferrous",0
Manufacture of wood products,2018,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,"Metallic wastes, non-ferrous",136
Mining and quarrying,2018,"Metallic wastes, non-ferrous",970
Commerce,2018,"Metallic wastes, non-ferrous",18956
Power industry,2018,"Metallic wastes, non-ferrous",2
Other manufacturing,2018,"Metallic wastes, non-ferrous",1758
Waste management,2018,"Metallic wastes, non-ferrous",0
Manufacture of food and beverage products,2018,"Metallic wastes, non-ferrous",0
"Agriculture, forestry and fishing",2018,"Metallic wastes, non-ferrous",1258
Water industry,2018,"Metallic wastes, mixed ferrous and non-ferrous",337
Manufacture of wood products,2018,"Metallic wastes, mixed ferrous and non-ferrous",333
"Manufacture of chemicals, plastics and pharmaceuticals",2018,"Metallic wastes, mixed ferrous and non-ferrous",2202
Mining and quarrying,2018,"Metallic wastes, mixed ferrous and non-ferrous",21133
Commerce,2018,"Metallic wastes, mixed ferrous and non-ferrous",97696
Power industry,2018,"Metallic wastes, mixed ferrous and non-ferrous",334
Other manufacturing,2018,"Metallic wastes, mixed ferrous and non-ferrous",23962
Waste management,2018,"Metallic wastes, mixed ferrous and non-ferrous",333
Manufacture of food and beverage products,2018,"Metallic wastes, mixed ferrous and non-ferrous",338
"Agriculture, forestry and fishing",2018,"Metallic wastes, mixed ferrous and non-ferrous",415
Water industry,2018,Glass wastes,502
Manufacture of wood products,2018,Glass wastes,502
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Glass wastes,502
Mining and quarrying,2018,Glass wastes,544
Commerce,2018,Glass wastes,56348
Power industry,2018,Glass wastes,502
Other manufacturing,2018,Glass wastes,502
Waste management,2018,Glass wastes,502
Manufacture of food and beverage products,2018,Glass wastes,660
"Agriculture, forestry and fishing",2018,Glass wastes,533
Water industry,2018,Paper and cardboard wastes,1190
Manufacture of wood products,2018,Paper and cardboard wastes,1315
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Paper and cardboard wastes,1190
Mining and quarrying,2018,Paper and cardboard wastes,1560
Commerce,2018,Paper and cardboard wastes,28838
Power industry,2018,Paper and cardboard wastes,1190
Other manufacturing,2018,Paper and cardboard wastes,1440
Waste management,2018,Paper and cardboard wastes,1429
Manufacture of food and beverage products,2018,Paper and cardboard wastes,2372
"Agriculture, forestry and fishing",2018,Paper and cardboard wastes,1190
Water industry,2018,Rubber wastes,0
Manufacture of wood products,2018,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Rubber wastes,0
Mining and quarrying,2018,Rubber wastes,2
Commerce,2018,Rubber wastes,33695
Power industry,2018,Rubber wastes,2
Other manufacturing,2018,Rubber wastes,0
Waste management,2018,Rubber wastes,0
Manufacture of food and beverage products,2018,Rubber wastes,0
"Agriculture, forestry and fishing",2018,Rubber wastes,894
Water industry,2018,Plastic wastes,946
Manufacture of wood products,2018,Plastic wastes,948
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Plastic wastes,1059
Mining and quarrying,2018,Plastic wastes,1254
Commerce,2018,Plastic wastes,13044
Power industry,2018,Plastic wastes,956
Other manufacturing,2018,Plastic wastes,972
Waste management,2018,Plastic wastes,959
Manufacture of food and beverage products,2018,Plastic wastes,959
"Agriculture, forestry and fishing",2018,Plastic wastes,23545
Water industry,2018,Wood wastes,5664
Manufacture of wood products,2018,Wood wastes,16104
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Wood wastes,1249
Mining and quarrying,2018,Wood wastes,2324
Commerce,2018,Wood wastes,49709
Power industry,2018,Wood wastes,1253
Other manufacturing,2018,Wood wastes,11439
Waste management,2018,Wood wastes,919
Manufacture of food and beverage products,2018,Wood wastes,1071
"Agriculture, forestry and fishing",2018,Wood wastes,937
Water industry,2018,Textile wastes,14
Manufacture of wood products,2018,Textile wastes,14
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Textile wastes,14
Mining and quarrying,2018,Textile wastes,14
Commerce,2018,Textile wastes,633
Power industry,2018,Textile wastes,14
Other manufacturing,2018,Textile wastes,1413
Waste management,2018,Textile wastes,14
Manufacture of food and beverage products,2018,Textile wastes,14
"Agriculture, forestry and fishing",2018,Textile wastes,14
Water industry,2018,Waste containing PCB,0
Manufacture of wood products,2018,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Waste containing PCB,3
Mining and quarrying,2018,Waste containing PCB,7
Commerce,2018,Waste containing PCB,156
Power industry,2018,Waste containing PCB,0
Other manufacturing,2018,Waste containing PCB,3
Waste management,2018,Waste containing PCB,0
Manufacture of food and beverage products,2018,Waste containing PCB,1
"Agriculture, forestry and fishing",2018,Waste containing PCB,2
Water industry,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",193
Manufacture of wood products,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",82
"Manufacture of chemicals, plastics and pharmaceuticals",2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",654
Mining and quarrying,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1019
Commerce,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",22678
Power industry,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",83
Other manufacturing,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",335
Waste management,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",82
Manufacture of food and beverage products,2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",109
"Agriculture, forestry and fishing",2018,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",247
Water industry,2018,Discarded vehicles,0
Manufacture of wood products,2018,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Discarded vehicles,0
Mining and quarrying,2018,Discarded vehicles,0
Commerce,2018,Discarded vehicles,77534
Power industry,2018,Discarded vehicles,9
Other manufacturing,2018,Discarded vehicles,0
Waste management,2018,Discarded vehicles,0
Manufacture of food and beverage products,2018,Discarded vehicles,0
"Agriculture, forestry and fishing",2018,Discarded vehicles,4822
Water industry,2018,Batteries and accumulators wastes,13
Manufacture of wood products,2018,Batteries and accumulators wastes,20
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Batteries and accumulators wastes,70
Mining and quarrying,2018,Batteries and accumulators wastes,499
Commerce,2018,Batteries and accumulators wastes,9485
Power industry,2018,Batteries and accumulators wastes,185
Other manufacturing,2018,Batteries and accumulators wastes,797
Waste management,2018,Batteries and accumulators wastes,7
Manufacture of food and beverage products,2018,Batteries and accumulators wastes,9
"Agriculture, forestry and fishing",2018,Batteries and accumulators wastes,841
Water industry,2018,Animal and mixed food waste,1097
Manufacture of wood products,2018,Animal and mixed food waste,56
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Animal and mixed food waste,70
Mining and quarrying,2018,Animal and mixed food waste,249
Commerce,2018,Animal and mixed food waste,139358
Power industry,2018,Animal and mixed food waste,56
Other manufacturing,2018,Animal and mixed food waste,57
Waste management,2018,Animal and mixed food waste,56
Manufacture of food and beverage products,2018,Animal and mixed food waste,178802
"Agriculture, forestry and fishing",2018,Animal and mixed food waste,9986
Water industry,2018,Vegetal wastes,60
Manufacture of wood products,2018,Vegetal wastes,60
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Vegetal wastes,60
Mining and quarrying,2018,Vegetal wastes,69
Commerce,2018,Vegetal wastes,110959
Power industry,2018,Vegetal wastes,60
Other manufacturing,2018,Vegetal wastes,60
Waste management,2018,Vegetal wastes,60
Manufacture of food and beverage products,2018,Vegetal wastes,450639
"Agriculture, forestry and fishing",2018,Vegetal wastes,40934
Water industry,2018,"Animal faeces, urine and manure",0
Manufacture of wood products,2018,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,"Animal faeces, urine and manure",0
Mining and quarrying,2018,"Animal faeces, urine and manure",0
Commerce,2018,"Animal faeces, urine and manure",0
Power industry,2018,"Animal faeces, urine and manure",0
Other manufacturing,2018,"Animal faeces, urine and manure",0
Waste management,2018,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2018,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2018,"Animal faeces, urine and manure",103365
Water industry,2018,Household and similar wastes,909
Manufacture of wood products,2018,Household and similar wastes,2039
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Household and similar wastes,3146
Mining and quarrying,2018,Household and similar wastes,8836
Commerce,2018,Household and similar wastes,691868
Power industry,2018,Household and similar wastes,547
Other manufacturing,2018,Household and similar wastes,2148
Waste management,2018,Household and similar wastes,532
Manufacture of food and beverage products,2018,Household and similar wastes,8631
"Agriculture, forestry and fishing",2018,Household and similar wastes,3142
Water industry,2018,Mixed and undifferentiated materials,17401
Manufacture of wood products,2018,Mixed and undifferentiated materials,6345
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Mixed and undifferentiated materials,10303
Mining and quarrying,2018,Mixed and undifferentiated materials,8773
Commerce,2018,Mixed and undifferentiated materials,77679
Power industry,2018,Mixed and undifferentiated materials,6228
Other manufacturing,2018,Mixed and undifferentiated materials,10301
Waste management,2018,Mixed and undifferentiated materials,7496
Manufacture of food and beverage products,2018,Mixed and undifferentiated materials,9519
"Agriculture, forestry and fishing",2018,Mixed and undifferentiated materials,11158
Water industry,2018,Sorting residues,0
Manufacture of wood products,2018,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Sorting residues,566
Mining and quarrying,2018,Sorting residues,0
Commerce,2018,Sorting residues,952
Power industry,2018,Sorting residues,0
Other manufacturing,2018,Sorting residues,0
Waste management,2018,Sorting residues,0
Manufacture of food and beverage products,2018,Sorting residues,775
"Agriculture, forestry and fishing",2018,Sorting residues,0
Water industry,2018,Common sludges,187986
Manufacture of wood products,2018,Common sludges,3
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Common sludges,13
Mining and quarrying,2018,Common sludges,13
Commerce,2018,Common sludges,32
Power industry,2018,Common sludges,3
Other manufacturing,2018,Common sludges,214
Waste management,2018,Common sludges,0
Manufacture of food and beverage products,2018,Common sludges,7478
"Agriculture, forestry and fishing",2018,Common sludges,1458
Water industry,2018,Mineral waste from construction and demolition,12
Manufacture of wood products,2018,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Mineral waste from construction and demolition,0
Mining and quarrying,2018,Mineral waste from construction and demolition,1950
Commerce,2018,Mineral waste from construction and demolition,285
Power industry,2018,Mineral waste from construction and demolition,0
Other manufacturing,2018,Mineral waste from construction and demolition,0
Waste management,2018,Mineral waste from construction and demolition,0
Manufacture of food and beverage products,2018,Mineral waste from construction and demolition,0
"Agriculture, forestry and fishing",2018,Mineral waste from construction and demolition,9
Water industry,2018,Other mineral wastes,2755
Manufacture of wood products,2018,Other mineral wastes,5
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Other mineral wastes,6
Mining and quarrying,2018,Other mineral wastes,118502
Commerce,2018,Other mineral wastes,4040
Power industry,2018,Other mineral wastes,5
Other manufacturing,2018,Other mineral wastes,5234
Waste management,2018,Other mineral wastes,5
Manufacture of food and beverage products,2018,Other mineral wastes,1015
"Agriculture, forestry and fishing",2018,Other mineral wastes,5
Water industry,2018,Combustion wastes,0
Manufacture of wood products,2018,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2018,Combustion wastes,0
Mining and quarrying,2018,Combustion wastes,0
Commerce,2018,Combustion wastes,0
Power industry,2018,Combustion wastes,10594
