business-sector,year,material,tonnes
Power industry,2011,Common sludges,60
Manufacture of wood products,2011,Common sludges,0
Waste management,2011,Common sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Common sludges,207
Manufacture of food and beverage products,2011,Mineral waste from construction and demolition,0
"Agriculture, forestry and fishing",2011,Mineral waste from construction and demolition,13
Water industry,2011,Mineral waste from construction and demolition,1576
Mining and quarrying,2011,Mineral waste from construction and demolition,17
Other manufacturing,2011,Mineral waste from construction and demolition,760
Commerce,2011,Mineral waste from construction and demolition,3362
Power industry,2011,Mineral waste from construction and demolition,200
Manufacture of wood products,2011,Mineral waste from construction and demolition,0
Waste management,2011,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Mineral waste from construction and demolition,0
Manufacture of food and beverage products,2011,Other mineral wastes,726
"Agriculture, forestry and fishing",2011,Other mineral wastes,3
Water industry,2011,Other mineral wastes,3155
Mining and quarrying,2011,Other mineral wastes,98138
Other manufacturing,2011,Other mineral wastes,10008
Commerce,2011,Other mineral wastes,1892
Power industry,2011,Other mineral wastes,5
Manufacture of wood products,2011,Other mineral wastes,4
Waste management,2011,Other mineral wastes,3
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Other mineral wastes,44
Manufacture of food and beverage products,2011,Combustion wastes,17
"Agriculture, forestry and fishing",2011,Combustion wastes,0
Water industry,2011,Combustion wastes,0
Mining and quarrying,2011,Combustion wastes,2
Other manufacturing,2011,Combustion wastes,2439
Commerce,2011,Combustion wastes,2492
Power industry,2011,Combustion wastes,537798
Manufacture of wood products,2011,Combustion wastes,0
Waste management,2011,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Combustion wastes,9
Manufacture of food and beverage products,2011,Soils,6597
"Agriculture, forestry and fishing",2011,Soils,2372
Water industry,2011,Soils,2380
Mining and quarrying,2011,Soils,2216
Other manufacturing,2011,Soils,2185
Commerce,2011,Soils,68310
Power industry,2011,Soils,2291
Manufacture of wood products,2011,Soils,2185
Waste management,2011,Soils,2185
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Soils,2185
Manufacture of food and beverage products,2011,Dredging spoils,0
"Agriculture, forestry and fishing",2011,Dredging spoils,3
Water industry,2011,Dredging spoils,0
Mining and quarrying,2011,Dredging spoils,0
Other manufacturing,2011,Dredging spoils,0
Commerce,2011,Dredging spoils,289
Power industry,2011,Dredging spoils,0
Manufacture of wood products,2011,Dredging spoils,0
Waste management,2011,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Dredging spoils,2
Manufacture of food and beverage products,2011,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2011,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2011,Mineral wastes from waste treatment and stabilised wastes,0
Mining and quarrying,2011,Mineral wastes from waste treatment and stabilised wastes,0
Other manufacturing,2011,Mineral wastes from waste treatment and stabilised wastes,0
Commerce,2011,Mineral wastes from waste treatment and stabilised wastes,67
Power industry,2011,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of wood products,2011,Mineral wastes from waste treatment and stabilised wastes,0
Waste management,2011,Mineral wastes from waste treatment and stabilised wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Mineral wastes from waste treatment and stabilised wastes,994
Manufacture of food and beverage products,2012,Spent solvents,1
"Agriculture, forestry and fishing",2012,Spent solvents,1
Water industry,2012,Spent solvents,1
Mining and quarrying,2012,Spent solvents,1234
Other manufacturing,2012,Spent solvents,32
Commerce,2012,Spent solvents,15
Power industry,2012,Spent solvents,28
Manufacture of wood products,2012,Spent solvents,1488
Waste management,2012,Spent solvents,1
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Spent solvents,50465
Manufacture of food and beverage products,2012,"Acid, alkaline or saline wastes",0
"Agriculture, forestry and fishing",2012,"Acid, alkaline or saline wastes",0
Water industry,2012,"Acid, alkaline or saline wastes",232
Mining and quarrying,2012,"Acid, alkaline or saline wastes",147
Other manufacturing,2012,"Acid, alkaline or saline wastes",1995
Commerce,2012,"Acid, alkaline or saline wastes",93
Power industry,2012,"Acid, alkaline or saline wastes",38
Manufacture of wood products,2012,"Acid, alkaline or saline wastes",4
Waste management,2012,"Acid, alkaline or saline wastes",0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,"Acid, alkaline or saline wastes",2350
Manufacture of food and beverage products,2012,Used oils,83
"Agriculture, forestry and fishing",2012,Used oils,8234
Water industry,2012,Used oils,21
Mining and quarrying,2012,Used oils,24858
Other manufacturing,2012,Used oils,12734
Commerce,2012,Used oils,51580
Power industry,2012,Used oils,1270
Manufacture of wood products,2012,Used oils,53
Waste management,2012,Used oils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Used oils,2886
Manufacture of food and beverage products,2012,Chemical wastes,198
"Agriculture, forestry and fishing",2012,Chemical wastes,32008
Water industry,2012,Chemical wastes,383
Mining and quarrying,2012,Chemical wastes,21654
Other manufacturing,2012,Chemical wastes,18497
Commerce,2012,Chemical wastes,21522
Power industry,2012,Chemical wastes,766
Manufacture of wood products,2012,Chemical wastes,513
Waste management,2012,Chemical wastes,39
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Chemical wastes,9661
Manufacture of food and beverage products,2012,Industrial effluent sludges,1
"Agriculture, forestry and fishing",2012,Industrial effluent sludges,68
Water industry,2012,Industrial effluent sludges,646
Mining and quarrying,2012,Industrial effluent sludges,46666
Other manufacturing,2012,Industrial effluent sludges,6195
Commerce,2012,Industrial effluent sludges,730
Power industry,2012,Industrial effluent sludges,1501
Manufacture of wood products,2012,Industrial effluent sludges,823
Waste management,2012,Industrial effluent sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Industrial effluent sludges,1662
Manufacture of food and beverage products,2012,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2012,Sludges and liquid wastes from waste treatment,0
Water industry,2012,Sludges and liquid wastes from waste treatment,427
Mining and quarrying,2012,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2012,Sludges and liquid wastes from waste treatment,0
Commerce,2012,Sludges and liquid wastes from waste treatment,139
Power industry,2012,Sludges and liquid wastes from waste treatment,0
Manufacture of wood products,2012,Sludges and liquid wastes from waste treatment,8
Waste management,2012,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Sludges and liquid wastes from waste treatment,1781
Manufacture of food and beverage products,2012,Health care and biological wastes,0
"Agriculture, forestry and fishing",2012,Health care and biological wastes,0
Water industry,2012,Health care and biological wastes,0
Mining and quarrying,2012,Health care and biological wastes,33
Other manufacturing,2012,Health care and biological wastes,0
Commerce,2012,Health care and biological wastes,37590
Power industry,2012,Health care and biological wastes,0
Manufacture of wood products,2012,Health care and biological wastes,0
Waste management,2012,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,Health care and biological wastes,0
Manufacture of food and beverage products,2012,"Metallic wastes, ferrous",6663
"Agriculture, forestry and fishing",2012,"Metallic wastes, ferrous",4335
Water industry,2012,"Metallic wastes, ferrous",1280
Mining and quarrying,2012,"Metallic wastes, ferrous",2652
Other manufacturing,2012,"Metallic wastes, ferrous",22617
Commerce,2012,"Metallic wastes, ferrous",41074
Power industry,2012,"Metallic wastes, ferrous",3
Manufacture of wood products,2012,"Metallic wastes, ferrous",0
Waste management,2012,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2012,"Metallic wastes, ferrous",2
Manufacture of food and beverage products,2012,"Metallic wastes, non-ferrous",6471
"Agriculture, forestry and fishing",2012,"Metallic wastes, non-ferrous",1185
Water industry,2012,"Metallic wastes, non-ferrous",1347
