region,year,material,tonnes
Scottish Borders,2011,Glass wastes,57
West Dunbartonshire,2011,Glass wastes,0
Clackmannanshire,2011,Glass wastes,787
Moray,2011,Glass wastes,362
West Lothian,2011,Glass wastes,384
Dundee City,2011,Glass wastes,839
Unknown,2011,Glass wastes,0
Falkirk,2011,Paper and cardboard wastes,1509
South Ayrshire,2011,Paper and cardboard wastes,166
Aberdeenshire,2011,Paper and cardboard wastes,5164
Renfrewshire,2011,Paper and cardboard wastes,4450
East Renfrewshire,2011,Paper and cardboard wastes,249
Fife,2011,Paper and cardboard wastes,2268
City of Edinburgh,2011,Paper and cardboard wastes,6069
East Dunbartonshire,2011,Paper and cardboard wastes,3104
North Ayrshire,2011,Paper and cardboard wastes,6619
Offshore,2011,Paper and cardboard wastes,396
Glasgow City,2011,Paper and cardboard wastes,9566
North Lanarkshire,2011,Paper and cardboard wastes,2901
East Lothian,2011,Paper and cardboard wastes,133
Argyll and Bute,2011,Paper and cardboard wastes,3669
Angus,2011,Paper and cardboard wastes,233
Dumfries and Galloway,2011,Paper and cardboard wastes,72
Shetland Islands,2011,Paper and cardboard wastes,7
Stirling,2011,Paper and cardboard wastes,1378
South Lanarkshire,2011,Paper and cardboard wastes,745
Perth and Kinross,2011,Paper and cardboard wastes,668
East Ayrshire,2011,Paper and cardboard wastes,109
Outer Hebrides,2011,Paper and cardboard wastes,133
Inverclyde,2011,Paper and cardboard wastes,1942
Highland,2011,Paper and cardboard wastes,2327
Midlothian,2011,Paper and cardboard wastes,1334
Orkney Islands,2011,Paper and cardboard wastes,551
Aberdeen City,2011,Paper and cardboard wastes,11565
Scottish Borders,2011,Paper and cardboard wastes,203
West Dunbartonshire,2011,Paper and cardboard wastes,36
Clackmannanshire,2011,Paper and cardboard wastes,264
Moray,2011,Paper and cardboard wastes,1324
West Lothian,2011,Paper and cardboard wastes,7257
Dundee City,2011,Paper and cardboard wastes,1531
Unknown,2011,Paper and cardboard wastes,0
Falkirk,2011,Rubber wastes,81
South Ayrshire,2011,Rubber wastes,131
Aberdeenshire,2011,Rubber wastes,125
Renfrewshire,2011,Rubber wastes,2352
East Renfrewshire,2011,Rubber wastes,0
Fife,2011,Rubber wastes,215
City of Edinburgh,2011,Rubber wastes,184
East Dunbartonshire,2011,Rubber wastes,2
North Ayrshire,2011,Rubber wastes,3
Offshore,2011,Rubber wastes,0
Glasgow City,2011,Rubber wastes,586
North Lanarkshire,2011,Rubber wastes,349
East Lothian,2011,Rubber wastes,7755
Argyll and Bute,2011,Rubber wastes,6
Angus,2011,Rubber wastes,1
Dumfries and Galloway,2011,Rubber wastes,28
Shetland Islands,2011,Rubber wastes,24
Stirling,2011,Rubber wastes,9
South Lanarkshire,2011,Rubber wastes,203
Perth and Kinross,2011,Rubber wastes,11
East Ayrshire,2011,Rubber wastes,10
Outer Hebrides,2011,Rubber wastes,61
Inverclyde,2011,Rubber wastes,59
Highland,2011,Rubber wastes,121
Midlothian,2011,Rubber wastes,26
Orkney Islands,2011,Rubber wastes,0
Aberdeen City,2011,Rubber wastes,1
Scottish Borders,2011,Rubber wastes,18
West Dunbartonshire,2011,Rubber wastes,16
Clackmannanshire,2011,Rubber wastes,5
Moray,2011,Rubber wastes,0
West Lothian,2011,Rubber wastes,249
Dundee City,2011,Rubber wastes,71
Unknown,2011,Rubber wastes,20000
Falkirk,2011,Plastic wastes,129
South Ayrshire,2011,Plastic wastes,23
Aberdeenshire,2011,Plastic wastes,316
Renfrewshire,2011,Plastic wastes,257
East Renfrewshire,2011,Plastic wastes,1
Fife,2011,Plastic wastes,275
City of Edinburgh,2011,Plastic wastes,259
East Dunbartonshire,2011,Plastic wastes,5
North Ayrshire,2011,Plastic wastes,183
Offshore,2011,Plastic wastes,108
Glasgow City,2011,Plastic wastes,660
North Lanarkshire,2011,Plastic wastes,91
East Lothian,2011,Plastic wastes,94
Argyll and Bute,2011,Plastic wastes,103
Angus,2011,Plastic wastes,44
Dumfries and Galloway,2011,Plastic wastes,2921
Shetland Islands,2011,Plastic wastes,45
Stirling,2011,Plastic wastes,22
South Lanarkshire,2011,Plastic wastes,101
Perth and Kinross,2011,Plastic wastes,90
East Ayrshire,2011,Plastic wastes,8
Outer Hebrides,2011,Plastic wastes,45
Inverclyde,2011,Plastic wastes,1
Highland,2011,Plastic wastes,92
Midlothian,2011,Plastic wastes,147
Orkney Islands,2011,Plastic wastes,11
Aberdeen City,2011,Plastic wastes,303
Scottish Borders,2011,Plastic wastes,20
West Dunbartonshire,2011,Plastic wastes,11
Clackmannanshire,2011,Plastic wastes,4
Moray,2011,Plastic wastes,33
West Lothian,2011,Plastic wastes,1756
Dundee City,2011,Plastic wastes,745
Unknown,2011,Plastic wastes,22949
Falkirk,2011,Wood wastes,762
South Ayrshire,2011,Wood wastes,71
Aberdeenshire,2011,Wood wastes,7020
Renfrewshire,2011,Wood wastes,3441
East Renfrewshire,2011,Wood wastes,83
Fife,2011,Wood wastes,4988
City of Edinburgh,2011,Wood wastes,1192
East Dunbartonshire,2011,Wood wastes,463
North Ayrshire,2011,Wood wastes,2781
Offshore,2011,Wood wastes,627
Glasgow City,2011,Wood wastes,23485
North Lanarkshire,2011,Wood wastes,588
East Lothian,2011,Wood wastes,17
Argyll and Bute,2011,Wood wastes,601
Angus,2011,Wood wastes,1290
Dumfries and Galloway,2011,Wood wastes,194
Shetland Islands,2011,Wood wastes,74
Stirling,2011,Wood wastes,1750
South Lanarkshire,2011,Wood wastes,38
Perth and Kinross,2011,Wood wastes,5388
East Ayrshire,2011,Wood wastes,56
Outer Hebrides,2011,Wood wastes,192
Inverclyde,2011,Wood wastes,187
Highland,2011,Wood wastes,5246
Midlothian,2011,Wood wastes,254
Orkney Islands,2011,Wood wastes,0
Aberdeen City,2011,Wood wastes,10054
Scottish Borders,2011,Wood wastes,428
West Dunbartonshire,2011,Wood wastes,3648
Clackmannanshire,2011,Wood wastes,247
Moray,2011,Wood wastes,374
West Lothian,2011,Wood wastes,1978
Dundee City,2011,Wood wastes,1397
Unknown,2011,Wood wastes,0
Falkirk,2011,Textile wastes,123
South Ayrshire,2011,Textile wastes,4
Aberdeenshire,2011,Textile wastes,0
Renfrewshire,2011,Textile wastes,15585
East Renfrewshire,2011,Textile wastes,0
Fife,2011,Textile wastes,27
City of Edinburgh,2011,Textile wastes,38
East Dunbartonshire,2011,Textile wastes,1900
North Ayrshire,2011,Textile wastes,100
Offshore,2011,Textile wastes,0
Glasgow City,2011,Textile wastes,0
North Lanarkshire,2011,Textile wastes,22
East Lothian,2011,Textile wastes,0
Argyll and Bute,2011,Textile wastes,32
Angus,2011,Textile wastes,29
Dumfries and Galloway,2011,Textile wastes,3
Shetland Islands,2011,Textile wastes,17
Stirling,2011,Textile wastes,17
South Lanarkshire,2011,Textile wastes,1
Perth and Kinross,2011,Textile wastes,13
East Ayrshire,2011,Textile wastes,0
Outer Hebrides,2011,Textile wastes,12
Inverclyde,2011,Textile wastes,10
Highland,2011,Textile wastes,21
Midlothian,2011,Textile wastes,0
Orkney Islands,2011,Textile wastes,0
Aberdeen City,2011,Textile wastes,3
Scottish Borders,2011,Textile wastes,10
West Dunbartonshire,2011,Textile wastes,11
Clackmannanshire,2011,Textile wastes,30
Moray,2011,Textile wastes,14
West Lothian,2011,Textile wastes,211
Dundee City,2011,Textile wastes,54
Unknown,2011,Textile wastes,0
Falkirk,2011,Waste containing PCB,0
South Ayrshire,2011,Waste containing PCB,0
Aberdeenshire,2011,Waste containing PCB,1
Renfrewshire,2011,Waste containing PCB,0
East Renfrewshire,2011,Waste containing PCB,0
Fife,2011,Waste containing PCB,0
City of Edinburgh,2011,Waste containing PCB,0
East Dunbartonshire,2011,Waste containing PCB,0
North Ayrshire,2011,Waste containing PCB,0
Offshore,2011,Waste containing PCB,1
Glasgow City,2011,Waste containing PCB,0
North Lanarkshire,2011,Waste containing PCB,0
East Lothian,2011,Waste containing PCB,0
Argyll and Bute,2011,Waste containing PCB,0
Angus,2011,Waste containing PCB,0
Dumfries and Galloway,2011,Waste containing PCB,0
Shetland Islands,2011,Waste containing PCB,0
Stirling,2011,Waste containing PCB,0
South Lanarkshire,2011,Waste containing PCB,0
Perth and Kinross,2011,Waste containing PCB,0
East Ayrshire,2011,Waste containing PCB,0
Outer Hebrides,2011,Waste containing PCB,1
Inverclyde,2011,Waste containing PCB,0
Highland,2011,Waste containing PCB,6
Midlothian,2011,Waste containing PCB,2
Orkney Islands,2011,Waste containing PCB,0
Aberdeen City,2011,Waste containing PCB,0
Scottish Borders,2011,Waste containing PCB,0
West Dunbartonshire,2011,Waste containing PCB,0
Clackmannanshire,2011,Waste containing PCB,0
Moray,2011,Waste containing PCB,0
West Lothian,2011,Waste containing PCB,0
Dundee City,2011,Waste containing PCB,0
Unknown,2011,Waste containing PCB,0
Falkirk,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",595
South Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1279
Aberdeenshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",6539
Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",172
East Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",48
Fife,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",6472
City of Edinburgh,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",368
