region,year,material,tonnes
North Ayrshire,2017,Vegetal wastes,4658
Offshore,2017,Vegetal wastes,15253
North Lanarkshire,2017,Vegetal wastes,7371
East Lothian,2017,Vegetal wastes,8673
Unknown,2017,Vegetal wastes,7253
Argyll and Bute,2017,Vegetal wastes,21118
Angus,2017,Vegetal wastes,1492
Dumfries and Galloway,2017,Vegetal wastes,5367
Shetland Islands,2017,Vegetal wastes,3058
Stirling,2017,Vegetal wastes,2905
South Lanarkshire,2017,Vegetal wastes,245
Outer Hebrides,2017,Vegetal wastes,425
Dundee City,2017,Vegetal wastes,2474
Perth and Kinross,2017,Vegetal wastes,26194
East Ayrshire,2017,Vegetal wastes,352
Inverclyde,2017,Vegetal wastes,91
Highland,2017,Vegetal wastes,49347
Midlothian,2017,Vegetal wastes,293
Scottish Borders,2017,Vegetal wastes,7162
West Dunbartonshire,2017,Vegetal wastes,19779
Clackmannanshire,2017,Vegetal wastes,744
Moray,2017,Vegetal wastes,154185
West Lothian,2017,Vegetal wastes,0
Falkirk,2017,"Animal faeces, urine and manure",0
South Ayrshire,2017,"Animal faeces, urine and manure",0
Aberdeenshire,2017,"Animal faeces, urine and manure",7
Aberdeen City,2017,"Animal faeces, urine and manure",0
Renfrewshire,2017,"Animal faeces, urine and manure",0
Glasgow City,2017,"Animal faeces, urine and manure",618
Orkney Islands,2017,"Animal faeces, urine and manure",0
East Renfrewshire,2017,"Animal faeces, urine and manure",0
City of Edinburgh,2017,"Animal faeces, urine and manure",148
Fife,2017,"Animal faeces, urine and manure",71925
East Dunbartonshire,2017,"Animal faeces, urine and manure",0
North Ayrshire,2017,"Animal faeces, urine and manure",5180
Offshore,2017,"Animal faeces, urine and manure",6
North Lanarkshire,2017,"Animal faeces, urine and manure",1
East Lothian,2017,"Animal faeces, urine and manure",0
Unknown,2017,"Animal faeces, urine and manure",0
Argyll and Bute,2017,"Animal faeces, urine and manure",24
Angus,2017,"Animal faeces, urine and manure",52
Dumfries and Galloway,2017,"Animal faeces, urine and manure",348
Shetland Islands,2017,"Animal faeces, urine and manure",0
Stirling,2017,"Animal faeces, urine and manure",0
South Lanarkshire,2017,"Animal faeces, urine and manure",0
Outer Hebrides,2017,"Animal faeces, urine and manure",196
Dundee City,2017,"Animal faeces, urine and manure",0
Perth and Kinross,2017,"Animal faeces, urine and manure",0
East Ayrshire,2017,"Animal faeces, urine and manure",2
Inverclyde,2017,"Animal faeces, urine and manure",90
Highland,2017,"Animal faeces, urine and manure",0
Midlothian,2017,"Animal faeces, urine and manure",0
Scottish Borders,2017,"Animal faeces, urine and manure",0
West Dunbartonshire,2017,"Animal faeces, urine and manure",0
Clackmannanshire,2017,"Animal faeces, urine and manure",0
Moray,2017,"Animal faeces, urine and manure",0
West Lothian,2017,"Animal faeces, urine and manure",0
Falkirk,2017,Household and similar wastes,13155
South Ayrshire,2017,Household and similar wastes,8374
Aberdeenshire,2017,Household and similar wastes,23160
Aberdeen City,2017,Household and similar wastes,44727
Renfrewshire,2017,Household and similar wastes,32591
Glasgow City,2017,Household and similar wastes,69669
Orkney Islands,2017,Household and similar wastes,3189
East Renfrewshire,2017,Household and similar wastes,30823
City of Edinburgh,2017,Household and similar wastes,24624
Fife,2017,Household and similar wastes,69091
East Dunbartonshire,2017,Household and similar wastes,27197
North Ayrshire,2017,Household and similar wastes,22663
Offshore,2017,Household and similar wastes,5773
North Lanarkshire,2017,Household and similar wastes,46537
East Lothian,2017,Household and similar wastes,7529
Unknown,2017,Household and similar wastes,50426
Argyll and Bute,2017,Household and similar wastes,14234
Angus,2017,Household and similar wastes,8458
Dumfries and Galloway,2017,Household and similar wastes,30240
Shetland Islands,2017,Household and similar wastes,34344
Stirling,2017,Household and similar wastes,9771
South Lanarkshire,2017,Household and similar wastes,4461
Outer Hebrides,2017,Household and similar wastes,5182
Dundee City,2017,Household and similar wastes,9345
Perth and Kinross,2017,Household and similar wastes,7302
East Ayrshire,2017,Household and similar wastes,3125
Inverclyde,2017,Household and similar wastes,12744
Highland,2017,Household and similar wastes,22101
Midlothian,2017,Household and similar wastes,7224
Scottish Borders,2017,Household and similar wastes,30805
West Dunbartonshire,2017,Household and similar wastes,9171
Clackmannanshire,2017,Household and similar wastes,2831
Moray,2017,Household and similar wastes,8553
West Lothian,2017,Household and similar wastes,0
Falkirk,2017,Mixed and undifferentiated materials,5726
South Ayrshire,2017,Mixed and undifferentiated materials,77
Aberdeenshire,2017,Mixed and undifferentiated materials,12244
Aberdeen City,2017,Mixed and undifferentiated materials,3862
Renfrewshire,2017,Mixed and undifferentiated materials,4925
Glasgow City,2017,Mixed and undifferentiated materials,44280
Orkney Islands,2017,Mixed and undifferentiated materials,2980
East Renfrewshire,2017,Mixed and undifferentiated materials,4619
City of Edinburgh,2017,Mixed and undifferentiated materials,5377
Fife,2017,Mixed and undifferentiated materials,16856
East Dunbartonshire,2017,Mixed and undifferentiated materials,1312
North Ayrshire,2017,Mixed and undifferentiated materials,10015
Offshore,2017,Mixed and undifferentiated materials,1128
North Lanarkshire,2017,Mixed and undifferentiated materials,8539
East Lothian,2017,Mixed and undifferentiated materials,6865
Unknown,2017,Mixed and undifferentiated materials,675
Argyll and Bute,2017,Mixed and undifferentiated materials,1996
Angus,2017,Mixed and undifferentiated materials,395
Dumfries and Galloway,2017,Mixed and undifferentiated materials,3179
Shetland Islands,2017,Mixed and undifferentiated materials,368
Stirling,2017,Mixed and undifferentiated materials,225
South Lanarkshire,2017,Mixed and undifferentiated materials,2123
Outer Hebrides,2017,Mixed and undifferentiated materials,896
Dundee City,2017,Mixed and undifferentiated materials,3329
Perth and Kinross,2017,Mixed and undifferentiated materials,2
East Ayrshire,2017,Mixed and undifferentiated materials,1637
Inverclyde,2017,Mixed and undifferentiated materials,9
Highland,2017,Mixed and undifferentiated materials,7891
Midlothian,2017,Mixed and undifferentiated materials,132
Scottish Borders,2017,Mixed and undifferentiated materials,19901
West Dunbartonshire,2017,Mixed and undifferentiated materials,1309
Clackmannanshire,2017,Mixed and undifferentiated materials,825
Moray,2017,Mixed and undifferentiated materials,822
West Lothian,2017,Mixed and undifferentiated materials,0
Falkirk,2017,Sorting residues,3
South Ayrshire,2017,Sorting residues,0
Aberdeenshire,2017,Sorting residues,0
Aberdeen City,2017,Sorting residues,0
Renfrewshire,2017,Sorting residues,0
Glasgow City,2017,Sorting residues,26
Orkney Islands,2017,Sorting residues,0
East Renfrewshire,2017,Sorting residues,0
City of Edinburgh,2017,Sorting residues,83
Fife,2017,Sorting residues,224
East Dunbartonshire,2017,Sorting residues,0
North Ayrshire,2017,Sorting residues,2
Offshore,2017,Sorting residues,0
North Lanarkshire,2017,Sorting residues,6571
East Lothian,2017,Sorting residues,0
Unknown,2017,Sorting residues,1868
Argyll and Bute,2017,Sorting residues,0
Angus,2017,Sorting residues,0
Dumfries and Galloway,2017,Sorting residues,1
Shetland Islands,2017,Sorting residues,0
Stirling,2017,Sorting residues,1
South Lanarkshire,2017,Sorting residues,204
Outer Hebrides,2017,Sorting residues,0
Dundee City,2017,Sorting residues,0
Perth and Kinross,2017,Sorting residues,0
East Ayrshire,2017,Sorting residues,177
Inverclyde,2017,Sorting residues,0
Highland,2017,Sorting residues,0
Midlothian,2017,Sorting residues,2
Scottish Borders,2017,Sorting residues,0
West Dunbartonshire,2017,Sorting residues,0
Clackmannanshire,2017,Sorting residues,0
Moray,2017,Sorting residues,0
West Lothian,2017,Sorting residues,0
Falkirk,2017,Common sludges,6349
South Ayrshire,2017,Common sludges,293
Aberdeenshire,2017,Common sludges,2208
Aberdeen City,2017,Common sludges,153
Renfrewshire,2017,Common sludges,16019
Glasgow City,2017,Common sludges,15225
Orkney Islands,2017,Common sludges,0
East Renfrewshire,2017,Common sludges,1896
City of Edinburgh,2017,Common sludges,518
Fife,2017,Common sludges,9061
East Dunbartonshire,2017,Common sludges,766
North Ayrshire,2017,Common sludges,10172
Offshore,2017,Common sludges,3972
North Lanarkshire,2017,Common sludges,1059
East Lothian,2017,Common sludges,5389
Unknown,2017,Common sludges,28029
Argyll and Bute,2017,Common sludges,1906
Angus,2017,Common sludges,10759
Dumfries and Galloway,2017,Common sludges,11727
Shetland Islands,2017,Common sludges,6622
Stirling,2017,Common sludges,2147
South Lanarkshire,2017,Common sludges,4149
Outer Hebrides,2017,Common sludges,896
Dundee City,2017,Common sludges,14
Perth and Kinross,2017,Common sludges,582
East Ayrshire,2017,Common sludges,2463
Inverclyde,2017,Common sludges,7273
Highland,2017,Common sludges,12208
Midlothian,2017,Common sludges,13
Scottish Borders,2017,Common sludges,877
West Dunbartonshire,2017,Common sludges,6436
Clackmannanshire,2017,Common sludges,360
Moray,2017,Common sludges,6085
West Lothian,2017,Common sludges,0
Falkirk,2017,Mineral waste from construction and demolition,62
South Ayrshire,2017,Mineral waste from construction and demolition,0
Aberdeenshire,2017,Mineral waste from construction and demolition,378
Aberdeen City,2017,Mineral waste from construction and demolition,352
Renfrewshire,2017,Mineral waste from construction and demolition,164
Glasgow City,2017,Mineral waste from construction and demolition,941
Orkney Islands,2017,Mineral waste from construction and demolition,128
East Renfrewshire,2017,Mineral waste from construction and demolition,119
City of Edinburgh,2017,Mineral waste from construction and demolition,606
Fife,2017,Mineral waste from construction and demolition,290
East Dunbartonshire,2017,Mineral waste from construction and demolition,2
North Ayrshire,2017,Mineral waste from construction and demolition,943
Offshore,2017,Mineral waste from construction and demolition,1
North Lanarkshire,2017,Mineral waste from construction and demolition,276
East Lothian,2017,Mineral waste from construction and demolition,41
Unknown,2017,Mineral waste from construction and demolition,277
Argyll and Bute,2017,Mineral waste from construction and demolition,0
Angus,2017,Mineral waste from construction and demolition,6
Dumfries and Galloway,2017,Mineral waste from construction and demolition,13
Shetland Islands,2017,Mineral waste from construction and demolition,78
Stirling,2017,Mineral waste from construction and demolition,15
South Lanarkshire,2017,Mineral waste from construction and demolition,72
Outer Hebrides,2017,Mineral waste from construction and demolition,0
Dundee City,2017,Mineral waste from construction and demolition,311
Perth and Kinross,2017,Mineral waste from construction and demolition,0
East Ayrshire,2017,Mineral waste from construction and demolition,96
Inverclyde,2017,Mineral waste from construction and demolition,1
Highland,2017,Mineral waste from construction and demolition,0
Midlothian,2017,Mineral waste from construction and demolition,41
Scottish Borders,2017,Mineral waste from construction and demolition,79
West Dunbartonshire,2017,Mineral waste from construction and demolition,11
Clackmannanshire,2017,Mineral waste from construction and demolition,0
Moray,2017,Mineral waste from construction and demolition,0
West Lothian,2017,Mineral waste from construction and demolition,0
Falkirk,2017,Other mineral wastes,1107
South Ayrshire,2017,Other mineral wastes,1079
Aberdeenshire,2017,Other mineral wastes,22295
Aberdeen City,2017,Other mineral wastes,6923
Renfrewshire,2017,Other mineral wastes,200
Glasgow City,2017,Other mineral wastes,2061
Orkney Islands,2017,Other mineral wastes,26418
East Renfrewshire,2017,Other mineral wastes,0
City of Edinburgh,2017,Other mineral wastes,546
Fife,2017,Other mineral wastes,2710
East Dunbartonshire,2017,Other mineral wastes,2
North Ayrshire,2017,Other mineral wastes,359
Offshore,2017,Other mineral wastes,144
North Lanarkshire,2017,Other mineral wastes,395
East Lothian,2017,Other mineral wastes,260
Unknown,2017,Other mineral wastes,1354
Argyll and Bute,2017,Other mineral wastes,309
Angus,2017,Other mineral wastes,20539
Dumfries and Galloway,2017,Other mineral wastes,4584
Shetland Islands,2017,Other mineral wastes,827
Stirling,2017,Other mineral wastes,116
South Lanarkshire,2017,Other mineral wastes,44
Outer Hebrides,2017,Other mineral wastes,11686
Dundee City,2017,Other mineral wastes,9288
Perth and Kinross,2017,Other mineral wastes,49
East Ayrshire,2017,Other mineral wastes,24
Inverclyde,2017,Other mineral wastes,1602
Highland,2017,Other mineral wastes,1640
Midlothian,2017,Other mineral wastes,24
Scottish Borders,2017,Other mineral wastes,68
West Dunbartonshire,2017,Other mineral wastes,67
Clackmannanshire,2017,Other mineral wastes,17
Moray,2017,Other mineral wastes,1500
West Lothian,2017,Other mineral wastes,0
Falkirk,2017,Combustion wastes,1337
South Ayrshire,2017,Combustion wastes,0
Aberdeenshire,2017,Combustion wastes,193
Aberdeen City,2017,Combustion wastes,17
Renfrewshire,2017,Combustion wastes,0
Glasgow City,2017,Combustion wastes,7
Orkney Islands,2017,Combustion wastes,8
East Renfrewshire,2017,Combustion wastes,0
City of Edinburgh,2017,Combustion wastes,0
Fife,2017,Combustion wastes,12592
East Dunbartonshire,2017,Combustion wastes,0
North Ayrshire,2017,Combustion wastes,1813
Offshore,2017,Combustion wastes,0
North Lanarkshire,2017,Combustion wastes,0
East Lothian,2017,Combustion wastes,56
Unknown,2017,Combustion wastes,1
Argyll and Bute,2017,Combustion wastes,0
Angus,2017,Combustion wastes,0
Dumfries and Galloway,2017,Combustion wastes,0
Shetland Islands,2017,Combustion wastes,1
Stirling,2017,Combustion wastes,4
South Lanarkshire,2017,Combustion wastes,0
Outer Hebrides,2017,Combustion wastes,0
Dundee City,2017,Combustion wastes,0
Perth and Kinross,2017,Combustion wastes,0
East Ayrshire,2017,Combustion wastes,0
Inverclyde,2017,Combustion wastes,0
Highland,2017,Combustion wastes,1354
Midlothian,2017,Combustion wastes,4
Scottish Borders,2017,Combustion wastes,106
West Dunbartonshire,2017,Combustion wastes,2575
Clackmannanshire,2017,Combustion wastes,0
Moray,2017,Combustion wastes,1247
West Lothian,2017,Combustion wastes,0
Falkirk,2017,Soils,248
South Ayrshire,2017,Soils,76
Aberdeenshire,2017,Soils,5317
Aberdeen City,2017,Soils,377
Renfrewshire,2017,Soils,5080
Glasgow City,2017,Soils,1633
Orkney Islands,2017,Soils,26
East Renfrewshire,2017,Soils,79
City of Edinburgh,2017,Soils,3680
Fife,2017,Soils,7210
East Dunbartonshire,2017,Soils,0
North Ayrshire,2017,Soils,1499
Offshore,2017,Soils,279
North Lanarkshire,2017,Soils,668
East Lothian,2017,Soils,418
Unknown,2017,Soils,1022
Argyll and Bute,2017,Soils,1310
Angus,2017,Soils,324
Dumfries and Galloway,2017,Soils,2035
Shetland Islands,2017,Soils,2600
Stirling,2017,Soils,731
South Lanarkshire,2017,Soils,436
Outer Hebrides,2017,Soils,50
Dundee City,2017,Soils,663
Perth and Kinross,2017,Soils,1489
East Ayrshire,2017,Soils,1218
Inverclyde,2017,Soils,985
Highland,2017,Soils,1286
Midlothian,2017,Soils,2414
Scottish Borders,2017,Soils,475
West Dunbartonshire,2017,Soils,392
Clackmannanshire,2017,Soils,206
Moray,2017,Soils,2774
West Lothian,2017,Soils,0
Falkirk,2017,Dredging spoils,1
South Ayrshire,2017,Dredging spoils,0
Aberdeenshire,2017,Dredging spoils,0
Aberdeen City,2017,Dredging spoils,0
Renfrewshire,2017,Dredging spoils,1
Glasgow City,2017,Dredging spoils,49
Orkney Islands,2017,Dredging spoils,0
East Renfrewshire,2017,Dredging spoils,0
City of Edinburgh,2017,Dredging spoils,1
Fife,2017,Dredging spoils,0
East Dunbartonshire,2017,Dredging spoils,0
North Ayrshire,2017,Dredging spoils,1
Offshore,2017,Dredging spoils,0
North Lanarkshire,2017,Dredging spoils,0
East Lothian,2017,Dredging spoils,0
Unknown,2017,Dredging spoils,6
Argyll and Bute,2017,Dredging spoils,3
Angus,2017,Dredging spoils,0
Dumfries and Galloway,2017,Dredging spoils,0
Shetland Islands,2017,Dredging spoils,0
Stirling,2017,Dredging spoils,9
South Lanarkshire,2017,Dredging spoils,1
Outer Hebrides,2017,Dredging spoils,0
Dundee City,2017,Dredging spoils,2
Perth and Kinross,2017,Dredging spoils,0
East Ayrshire,2017,Dredging spoils,0
Inverclyde,2017,Dredging spoils,0
Highland,2017,Dredging spoils,1
Midlothian,2017,Dredging spoils,0
Scottish Borders,2017,Dredging spoils,0
West Dunbartonshire,2017,Dredging spoils,1
Clackmannanshire,2017,Dredging spoils,0
Moray,2017,Dredging spoils,0
West Lothian,2017,Dredging spoils,0
Falkirk,2017,Mineral wastes from waste treatment and stabilised wastes,0
South Ayrshire,2017,Mineral wastes from waste treatment and stabilised wastes,0
Aberdeenshire,2017,Mineral wastes from waste treatment and stabilised wastes,8
Aberdeen City,2017,Mineral wastes from waste treatment and stabilised wastes,0
Renfrewshire,2017,Mineral wastes from waste treatment and stabilised wastes,0
Glasgow City,2017,Mineral wastes from waste treatment and stabilised wastes,45
Orkney Islands,2017,Mineral wastes from waste treatment and stabilised wastes,1
East Renfrewshire,2017,Mineral wastes from waste treatment and stabilised wastes,0
City of Edinburgh,2017,Mineral wastes from waste treatment and stabilised wastes,0
Fife,2017,Mineral wastes from waste treatment and stabilised wastes,2234
East Dunbartonshire,2017,Mineral wastes from waste treatment and stabilised wastes,0
North Ayrshire,2017,Mineral wastes from waste treatment and stabilised wastes,251
Offshore,2017,Mineral wastes from waste treatment and stabilised wastes,0
North Lanarkshire,2017,Mineral wastes from waste treatment and stabilised wastes,7
East Lothian,2017,Mineral wastes from waste treatment and stabilised wastes,0
Unknown,2017,Mineral wastes from waste treatment and stabilised wastes,0
Argyll and Bute,2017,Mineral wastes from waste treatment and stabilised wastes,0
Angus,2017,Mineral wastes from waste treatment and stabilised wastes,0
Dumfries and Galloway,2017,Mineral wastes from waste treatment and stabilised wastes,12615
Shetland Islands,2017,Mineral wastes from waste treatment and stabilised wastes,30
Stirling,2017,Mineral wastes from waste treatment and stabilised wastes,0
South Lanarkshire,2017,Mineral wastes from waste treatment and stabilised wastes,0
Outer Hebrides,2017,Mineral wastes from waste treatment and stabilised wastes,0
Dundee City,2017,Mineral wastes from waste treatment and stabilised wastes,220
Perth and Kinross,2017,Mineral wastes from waste treatment and stabilised wastes,0
East Ayrshire,2017,Mineral wastes from waste treatment and stabilised wastes,8047
Inverclyde,2017,Mineral wastes from waste treatment and stabilised wastes,0
Highland,2017,Mineral wastes from waste treatment and stabilised wastes,0
Midlothian,2017,Mineral wastes from waste treatment and stabilised wastes,0
Scottish Borders,2017,Mineral wastes from waste treatment and stabilised wastes,0
West Dunbartonshire,2017,Mineral wastes from waste treatment and stabilised wastes,200
Clackmannanshire,2017,Mineral wastes from waste treatment and stabilised wastes,0
Moray,2017,Mineral wastes from waste treatment and stabilised wastes,0
West Lothian,2017,Mineral wastes from waste treatment and stabilised wastes,0
Falkirk,2018,Spent solvents,488
South Ayrshire,2018,Spent solvents,4
Aberdeenshire,2018,Spent solvents,1050
Aberdeen City,2018,Spent solvents,3394
Renfrewshire,2018,Spent solvents,123
Glasgow City,2018,Spent solvents,139
Orkney Islands,2018,Spent solvents,0
East Renfrewshire,2018,Spent solvents,9
City of Edinburgh,2018,Spent solvents,2685
Fife,2018,Spent solvents,613
East Dunbartonshire,2018,Spent solvents,7
North Ayrshire,2018,Spent solvents,24
Offshore,2018,Spent solvents,263
North Lanarkshire,2018,Spent solvents,108
East Lothian,2018,Spent solvents,1
Unknown,2018,Spent solvents,37492
Argyll and Bute,2018,Spent solvents,1
Angus,2018,Spent solvents,15
Dumfries and Galloway,2018,Spent solvents,257
Shetland Islands,2018,Spent solvents,16
Stirling,2018,Spent solvents,47
South Lanarkshire,2018,Spent solvents,17
Outer Hebrides,2018,Spent solvents,0
Dundee City,2018,Spent solvents,74
Perth and Kinross,2018,Spent solvents,1
East Ayrshire,2018,Spent solvents,4
Inverclyde,2018,Spent solvents,1
Highland,2018,Spent solvents,92
Midlothian,2018,Spent solvents,94
Scottish Borders,2018,Spent solvents,28
West Dunbartonshire,2018,Spent solvents,1
Clackmannanshire,2018,Spent solvents,0
Moray,2018,Spent solvents,5
West Lothian,2018,Spent solvents,404
Falkirk,2018,"Acid, alkaline or saline wastes",184
South Ayrshire,2018,"Acid, alkaline or saline wastes",16
Aberdeenshire,2018,"Acid, alkaline or saline wastes",219
Aberdeen City,2018,"Acid, alkaline or saline wastes",601
Renfrewshire,2018,"Acid, alkaline or saline wastes",271
Glasgow City,2018,"Acid, alkaline or saline wastes",988
Orkney Islands,2018,"Acid, alkaline or saline wastes",0
East Renfrewshire,2018,"Acid, alkaline or saline wastes",3
City of Edinburgh,2018,"Acid, alkaline or saline wastes",52
Fife,2018,"Acid, alkaline or saline wastes",19
East Dunbartonshire,2018,"Acid, alkaline or saline wastes",1
North Ayrshire,2018,"Acid, alkaline or saline wastes",28
Offshore,2018,"Acid, alkaline or saline wastes",23
North Lanarkshire,2018,"Acid, alkaline or saline wastes",208
East Lothian,2018,"Acid, alkaline or saline wastes",2
Unknown,2018,"Acid, alkaline or saline wastes",0
Argyll and Bute,2018,"Acid, alkaline or saline wastes",59
Angus,2018,"Acid, alkaline or saline wastes",775
Dumfries and Galloway,2018,"Acid, alkaline or saline wastes",30
Shetland Islands,2018,"Acid, alkaline or saline wastes",147
Stirling,2018,"Acid, alkaline or saline wastes",507
South Lanarkshire,2018,"Acid, alkaline or saline wastes",42
Outer Hebrides,2018,"Acid, alkaline or saline wastes",0
Dundee City,2018,"Acid, alkaline or saline wastes",41
Perth and Kinross,2018,"Acid, alkaline or saline wastes",54
East Ayrshire,2018,"Acid, alkaline or saline wastes",1
Inverclyde,2018,"Acid, alkaline or saline wastes",3
Highland,2018,"Acid, alkaline or saline wastes",48
Midlothian,2018,"Acid, alkaline or saline wastes",3
Scottish Borders,2018,"Acid, alkaline or saline wastes",13
West Dunbartonshire,2018,"Acid, alkaline or saline wastes",2
Clackmannanshire,2018,"Acid, alkaline or saline wastes",25
Moray,2018,"Acid, alkaline or saline wastes",15
West Lothian,2018,"Acid, alkaline or saline wastes",347
Falkirk,2018,Used oils,947
South Ayrshire,2018,Used oils,297
Aberdeenshire,2018,Used oils,4335
Aberdeen City,2018,Used oils,10750
Renfrewshire,2018,Used oils,3297
Glasgow City,2018,Used oils,2529
Orkney Islands,2018,Used oils,170
East Renfrewshire,2018,Used oils,319
City of Edinburgh,2018,Used oils,2125
Fife,2018,Used oils,2855
East Dunbartonshire,2018,Used oils,33
North Ayrshire,2018,Used oils,329
Offshore,2018,Used oils,1618
North Lanarkshire,2018,Used oils,869
East Lothian,2018,Used oils,382
Unknown,2018,Used oils,0
Argyll and Bute,2018,Used oils,4078
Angus,2018,Used oils,1338
Dumfries and Galloway,2018,Used oils,328
Shetland Islands,2018,Used oils,1643
Stirling,2018,Used oils,814
South Lanarkshire,2018,Used oils,684
Outer Hebrides,2018,Used oils,111
Dundee City,2018,Used oils,334
Perth and Kinross,2018,Used oils,273
East Ayrshire,2018,Used oils,641
Inverclyde,2018,Used oils,241
Highland,2018,Used oils,3033
Midlothian,2018,Used oils,170
Scottish Borders,2018,Used oils,227
West Dunbartonshire,2018,Used oils,266
Clackmannanshire,2018,Used oils,79
Moray,2018,Used oils,168
West Lothian,2018,Used oils,1269
Falkirk,2018,Chemical wastes,2097
South Ayrshire,2018,Chemical wastes,366
Aberdeenshire,2018,Chemical wastes,11737
Aberdeen City,2018,Chemical wastes,17609
Renfrewshire,2018,Chemical wastes,3962
Glasgow City,2018,Chemical wastes,3460
Orkney Islands,2018,Chemical wastes,79
East Renfrewshire,2018,Chemical wastes,114
City of Edinburgh,2018,Chemical wastes,8784
Fife,2018,Chemical wastes,2229
East Dunbartonshire,2018,Chemical wastes,367
North Ayrshire,2018,Chemical wastes,1025
Offshore,2018,Chemical wastes,7356
North Lanarkshire,2018,Chemical wastes,1770
East Lothian,2018,Chemical wastes,125
Unknown,2018,Chemical wastes,30528
Argyll and Bute,2018,Chemical wastes,3051
Angus,2018,Chemical wastes,4905
Dumfries and Galloway,2018,Chemical wastes,510
Shetland Islands,2018,Chemical wastes,1648
Stirling,2018,Chemical wastes,1528
South Lanarkshire,2018,Chemical wastes,1145
Outer Hebrides,2018,Chemical wastes,71
Dundee City,2018,Chemical wastes,745
Perth and Kinross,2018,Chemical wastes,621
East Ayrshire,2018,Chemical wastes,517
Inverclyde,2018,Chemical wastes,215
Highland,2018,Chemical wastes,3300
Midlothian,2018,Chemical wastes,145
Scottish Borders,2018,Chemical wastes,964
West Dunbartonshire,2018,Chemical wastes,1677
Clackmannanshire,2018,Chemical wastes,72
Moray,2018,Chemical wastes,1176
West Lothian,2018,Chemical wastes,1328
Falkirk,2018,Industrial effluent sludges,1042
South Ayrshire,2018,Industrial effluent sludges,34
Aberdeenshire,2018,Industrial effluent sludges,6401
Aberdeen City,2018,Industrial effluent sludges,10977
Renfrewshire,2018,Industrial effluent sludges,1177
Glasgow City,2018,Industrial effluent sludges,196
Orkney Islands,2018,Industrial effluent sludges,0
East Renfrewshire,2018,Industrial effluent sludges,3
City of Edinburgh,2018,Industrial effluent sludges,99
Fife,2018,Industrial effluent sludges,81
East Dunbartonshire,2018,Industrial effluent sludges,14
North Ayrshire,2018,Industrial effluent sludges,5151
Offshore,2018,Industrial effluent sludges,28605
North Lanarkshire,2018,Industrial effluent sludges,83
East Lothian,2018,Industrial effluent sludges,46
Unknown,2018,Industrial effluent sludges,0
Argyll and Bute,2018,Industrial effluent sludges,80
Angus,2018,Industrial effluent sludges,23
Dumfries and Galloway,2018,Industrial effluent sludges,125
Shetland Islands,2018,Industrial effluent sludges,32
Stirling,2018,Industrial effluent sludges,657
South Lanarkshire,2018,Industrial effluent sludges,116
Outer Hebrides,2018,Industrial effluent sludges,2
Dundee City,2018,Industrial effluent sludges,17
Perth and Kinross,2018,Industrial effluent sludges,42
East Ayrshire,2018,Industrial effluent sludges,110
Inverclyde,2018,Industrial effluent sludges,0
Highland,2018,Industrial effluent sludges,460
Midlothian,2018,Industrial effluent sludges,0
Scottish Borders,2018,Industrial effluent sludges,15
West Dunbartonshire,2018,Industrial effluent sludges,3050
Clackmannanshire,2018,Industrial effluent sludges,236
Moray,2018,Industrial effluent sludges,51
West Lothian,2018,Industrial effluent sludges,31
Falkirk,2018,Sludges and liquid wastes from waste treatment,0
South Ayrshire,2018,Sludges and liquid wastes from waste treatment,0
Aberdeenshire,2018,Sludges and liquid wastes from waste treatment,0
Aberdeen City,2018,Sludges and liquid wastes from waste treatment,0
Renfrewshire,2018,Sludges and liquid wastes from waste treatment,0
Glasgow City,2018,Sludges and liquid wastes from waste treatment,0
Orkney Islands,2018,Sludges and liquid wastes from waste treatment,0
East Renfrewshire,2018,Sludges and liquid wastes from waste treatment,0
City of Edinburgh,2018,Sludges and liquid wastes from waste treatment,0
Fife,2018,Sludges and liquid wastes from waste treatment,0
East Dunbartonshire,2018,Sludges and liquid wastes from waste treatment,0
North Ayrshire,2018,Sludges and liquid wastes from waste treatment,0
Offshore,2018,Sludges and liquid wastes from waste treatment,0
North Lanarkshire,2018,Sludges and liquid wastes from waste treatment,0
East Lothian,2018,Sludges and liquid wastes from waste treatment,0
Unknown,2018,Sludges and liquid wastes from waste treatment,0
Argyll and Bute,2018,Sludges and liquid wastes from waste treatment,0
Angus,2018,Sludges and liquid wastes from waste treatment,0
Dumfries and Galloway,2018,Sludges and liquid wastes from waste treatment,0
Shetland Islands,2018,Sludges and liquid wastes from waste treatment,0
Stirling,2018,Sludges and liquid wastes from waste treatment,0
South Lanarkshire,2018,Sludges and liquid wastes from waste treatment,0
Outer Hebrides,2018,Sludges and liquid wastes from waste treatment,0
Dundee City,2018,Sludges and liquid wastes from waste treatment,0
Perth and Kinross,2018,Sludges and liquid wastes from waste treatment,0
East Ayrshire,2018,Sludges and liquid wastes from waste treatment,0
Inverclyde,2018,Sludges and liquid wastes from waste treatment,0
Highland,2018,Sludges and liquid wastes from waste treatment,0
Midlothian,2018,Sludges and liquid wastes from waste treatment,0
Scottish Borders,2018,Sludges and liquid wastes from waste treatment,0
West Dunbartonshire,2018,Sludges and liquid wastes from waste treatment,0
Clackmannanshire,2018,Sludges and liquid wastes from waste treatment,0
Moray,2018,Sludges and liquid wastes from waste treatment,0
West Lothian,2018,Sludges and liquid wastes from waste treatment,0
Falkirk,2018,Health care and biological wastes,73
South Ayrshire,2018,Health care and biological wastes,18
